r,t,y,CapitalInvestment
RE1,IMPCOA,2050,0.0026
RE1,IMPCOA,2051,0.0026
RE1,IMPCOA,2052,0.0027
RE1,IMPCOA,2053,0.0027
RE1,IMPCOA,2054,0.0027
RE1,IMPCOA,2055,0.0028
RE1,IMPCOA,2056,0.0028
RE1,IMPCOA,2057,0.0029
RE1,IMPCOA,2058,0.0029
RE1,IMPCOA,2059,0.003
RE1,IMPCOA,2060,0.003
RE1,IMPCOA,2061,0.0031
RE1,IMPCOA,2062,0.0031
RE1,IMPCOA,2063,0.0031
RE1,IMPCOA,2064,0.0032
RE1,IMPCOA,2065,0.0032
RE1,IMPCOA,2066,0.0033
RE1,IMPCOA,2067,0.0035
RE1,IMPCOA,2068,0.0042
RE1,IMPCOA,2069,0.0044
RE1,IMPCOA,2070,0.0045
RE1,IMPLFO,2015,0.0203
RE1,IMPLFO,2016,0.0213
RE1,IMPLFO,2017,0.0225
RE1,IMPLFO,2018,0.0237
RE1,IMPLFO,2019,0.025
RE1,IMPLFO,2020,0.0263
RE1,IMPLFO,2021,0.025
RE1,IMPLFO,2022,0.0238
RE1,IMPLFO,2023,0.0225
RE1,IMPLFO,2024,0.0213
RE1,IMPLFO,2025,0.0201
RE1,IMPLFO,2026,0.0204
RE1,IMPLFO,2027,0.0212
RE1,IMPLFO,2028,0.0219
RE1,IMPLFO,2029,0.0227
RE1,IMPLFO,2030,0.0235
RE1,IMPLFO,2031,0.0239
RE1,IMPLFO,2032,0.0243
RE1,IMPLFO,2033,0.0247
RE1,IMPLFO,2034,0.0252
RE1,IMPLFO,2035,0.0269
RE1,IMPLFO,2036,0.0278
RE1,IMPLFO,2037,0.0287
RE1,IMPLFO,2038,0.0297
RE1,IMPLFO,2039,0.0307
RE1,IMPLFO,2040,0.0317
RE1,IMPLFO,2041,0.0325
RE1,IMPLFO,2042,0.0334
RE1,IMPLFO,2043,0.0342
RE1,IMPLFO,2044,0.0351
RE1,IMPLFO,2045,0.036
RE1,IMPLFO,2046,0.0345
RE1,IMPLFO,2047,0.033
RE1,IMPLFO,2048,0.0315
RE1,IMPLFO,2049,0.0301
RE1,IMPLFO,2050,0.0163
RE1,IMPLFO,2051,0.011
RE1,IMPLFO,2052,0.0092
RE1,IMPLFO,2053,0.0073
RE1,IMPLFO,2054,0.0055
RE1,IMPLFO,2055,0.0037
RE1,IMPLFO,2056,0.0019
RE1,IMPLFO,2057,0.0
RE1,IMPNGS,2060,0.0195
RE1,IMPNGS,2061,0.0252
RE1,IMPNGS,2062,0.0242
RE1,IMPNGS,2063,0.0237
RE1,IMPNGS,2064,0.0233
RE1,IMPNGS,2065,0.0233
RE1,IMPNGS,2066,0.0243
RE1,IMPNGS,2067,0.0254
RE1,IMPNGS,2068,0.0264
RE1,IMPNGS,2069,0.0264
RE1,IMPNGS,2070,0.0131
RE1,MINNGS,2024,0.0005
RE1,MINNGS,2025,0.0006
RE1,MINNGS,2026,0.0011
RE1,MINNGS,2027,0.0021
RE1,MINNGS,2028,0.0024
RE1,MINNGS,2029,0.0038
RE1,MINNGS,2030,0.0043
RE1,MINNGS,2031,0.0053
RE1,MINNGS,2032,0.0068
RE1,MINNGS,2033,0.0073
RE1,MINNGS,2034,0.0077
RE1,MINNGS,2035,0.0077
RE1,MINNGS,2036,0.008
RE1,MINNGS,2037,0.0085
RE1,MINNGS,2038,0.0085
RE1,MINNGS,2039,0.0085
RE1,MINNGS,2040,0.0085
RE1,MINNGS,2041,0.0085
RE1,MINNGS,2042,0.0085
RE1,MINNGS,2043,0.0085
RE1,MINNGS,2044,0.0085
RE1,MINNGS,2045,0.0085
RE1,MINNGS,2046,0.0085
RE1,MINNGS,2047,0.0099
RE1,MINNGS,2048,0.012
RE1,MINNGS,2049,0.0142
RE1,MINNGS,2050,0.0198
RE1,MINNGS,2051,0.0213
RE1,MINNGS,2052,0.0221
RE1,MINNGS,2053,0.023
RE1,MINNGS,2054,0.0239
RE1,MINNGS,2055,0.0248
RE1,MINNGS,2056,0.0257
RE1,MINNGS,2057,0.0266
RE1,MINNGS,2058,0.0264
RE1,MINNGS,2059,0.026
RE1,MINNGS,2060,0.0067
RE1,MINSOL,2015,0.0
RE1,MINSOL,2017,0.0
RE1,MINSOL,2021,0.0001
RE1,MINSOL,2022,0.0001
RE1,MINSOL,2023,0.0001
RE1,MINSOL,2024,0.0002
RE1,MINSOL,2025,0.0015
RE1,MINSOL,2026,0.0016
RE1,MINSOL,2027,0.0017
RE1,MINSOL,2028,0.0018
RE1,MINSOL,2029,0.0018
RE1,MINSOL,2030,0.0019
RE1,MINSOL,2031,0.002
RE1,MINSOL,2032,0.0021
RE1,MINSOL,2033,0.0022
RE1,MINSOL,2034,0.0023
RE1,MINSOL,2035,0.0025
RE1,MINSOL,2036,0.0026
RE1,MINSOL,2037,0.0028
RE1,MINSOL,2038,0.003
RE1,MINSOL,2039,0.0039
RE1,MINSOL,2040,0.0052
RE1,MINSOL,2041,0.0059
RE1,MINSOL,2042,0.0065
RE1,MINSOL,2043,0.0072
RE1,MINSOL,2044,0.0077
RE1,MINSOL,2045,0.0079
RE1,MINSOL,2046,0.0101
RE1,MINSOL,2047,0.0106
RE1,MINSOL,2048,0.0113
RE1,MINSOL,2049,0.0121
RE1,MINSOL,2050,0.0139
RE1,MINSOL,2051,0.0144
RE1,MINSOL,2052,0.0146
RE1,MINSOL,2053,0.0148
RE1,MINSOL,2054,0.015
RE1,MINSOL,2055,0.0152
RE1,MINSOL,2056,0.0154
RE1,MINSOL,2057,0.0156
RE1,MINSOL,2058,0.0159
RE1,MINSOL,2059,0.0162
RE1,MINSOL,2060,0.017
RE1,MINSOL,2061,0.0172
RE1,MINSOL,2062,0.0174
RE1,MINSOL,2063,0.0179
RE1,MINSOL,2064,0.0184
RE1,MINSOL,2065,0.0191
RE1,MINSOL,2066,0.019
RE1,MINSOL,2067,0.019
RE1,MINSOL,2068,0.0188
RE1,MINSOL,2069,0.019
RE1,MINSOL,2070,0.0202
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2035,0.0015
RE1,MINWND,2036,0.0016
RE1,MINWND,2037,0.0017
RE1,MINWND,2038,0.0018
RE1,MINWND,2039,0.0019
RE1,MINWND,2040,0.0019
RE1,MINWND,2041,0.0019
RE1,MINWND,2042,0.0019
RE1,MINWND,2043,0.0019
RE1,MINWND,2044,0.002
RE1,MINWND,2045,0.0026
RE1,MINWND,2046,0.0026
RE1,MINWND,2047,0.0028
RE1,MINWND,2048,0.0029
RE1,MINWND,2049,0.0031
RE1,MINWND,2050,0.0042
RE1,MINWND,2051,0.0056
RE1,MINWND,2052,0.0063
RE1,MINWND,2053,0.007
RE1,MINWND,2054,0.0077
RE1,MINWND,2055,0.0084
RE1,MINWND,2056,0.0091
RE1,MINWND,2057,0.0098
RE1,MINWND,2058,0.0103
RE1,MINWND,2059,0.0109
RE1,MINWND,2060,0.0111
RE1,MINWND,2061,0.0116
RE1,MINWND,2062,0.0122
RE1,MINWND,2063,0.0124
RE1,MINWND,2064,0.0127
RE1,MINWND,2065,0.0127
RE1,MINWND,2066,0.013
RE1,MINWND,2067,0.0131
RE1,MINWND,2068,0.0133
RE1,MINWND,2069,0.0134
RE1,MINWND,2070,0.0212
RE1,MINHYD,2015,0.0006
RE1,MINHYD,2016,0.0005
RE1,MINHYD,2017,0.0007
RE1,MINHYD,2018,0.0005
RE1,MINHYD,2019,0.0004
RE1,MINHYD,2020,0.0003
RE1,MINHYD,2021,0.0011
RE1,MINHYD,2022,0.0018
RE1,MINHYD,2023,0.0018
RE1,MINHYD,2024,0.0018
RE1,MINHYD,2025,0.0018
RE1,MINHYD,2026,0.0018
RE1,MINHYD,2027,0.0018
RE1,MINHYD,2028,0.0018
RE1,MINHYD,2029,0.0018
RE1,MINHYD,2030,0.0018
RE1,MINHYD,2031,0.0018
RE1,MINHYD,2032,0.0018
RE1,MINHYD,2033,0.0018
RE1,MINHYD,2034,0.0018
RE1,MINHYD,2035,0.0018
RE1,MINHYD,2036,0.0018
RE1,MINHYD,2037,0.0018
RE1,MINHYD,2038,0.0018
RE1,MINHYD,2039,0.0018
RE1,MINHYD,2040,0.0018
RE1,MINHYD,2041,0.0018
RE1,MINHYD,2042,0.0018
RE1,MINHYD,2043,0.0018
RE1,MINHYD,2044,0.0018
RE1,MINHYD,2045,0.0018
RE1,MINHYD,2046,0.0018
RE1,MINHYD,2047,0.0018
RE1,MINHYD,2048,0.0018
RE1,MINHYD,2049,0.0018
RE1,MINHYD,2050,0.0018
RE1,MINHYD,2051,0.0018
RE1,MINHYD,2052,0.0018
RE1,MINHYD,2053,0.0018
RE1,MINHYD,2054,0.0018
RE1,MINHYD,2055,0.0018
RE1,MINHYD,2056,0.0018
RE1,MINHYD,2057,0.0018
RE1,MINHYD,2058,0.0018
RE1,MINHYD,2059,0.0018
RE1,MINHYD,2060,0.0018
RE1,MINHYD,2061,0.0018
RE1,MINHYD,2062,0.0018
RE1,MINHYD,2063,0.0018
RE1,MINHYD,2064,0.0018
RE1,MINHYD,2065,0.0018
RE1,MINHYD,2066,0.0018
RE1,MINHYD,2067,0.0018
RE1,MINHYD,2068,0.0018
RE1,MINHYD,2069,0.0018
RE1,MINHYD,2070,0.0018
RE1,PWRBIO001,2022,103.1991
RE1,PWRBIO001,2023,1179.6164
RE1,PWRBIO001,2024,793.5731
RE1,PWRBIO001,2025,12.3957
RE1,PWRBIO001,2026,116.4022
RE1,PWRBIO001,2027,122.9828
RE1,PWRBIO001,2028,129.9914
RE1,PWRBIO001,2029,137.4558
RE1,PWRBIO001,2030,145.4042
RE1,PWRBIO001,2031,110.9214
RE1,PWRBIO001,2032,120.8129
RE1,PWRBIO001,2033,131.0112
RE1,PWRBIO001,2034,241.6092
RE1,PWRBIO001,2035,311.6141
RE1,PWRBIO001,2036,221.7749
RE1,PWRBIO001,2037,236.3823
RE1,PWRBIO001,2038,252.0983
RE1,PWRBIO001,2039,269.0015
RE1,PWRBIO001,2040,287.1752
RE1,PWRBIO001,2041,241.9535
RE1,PWRBIO001,2042,254.7356
RE1,PWRBIO001,2043,276.315
RE1,PWRBIO001,2044,290.1836
RE1,PWRBIO001,2045,89.3475
RE1,PWRBIO001,2046,128.8583
RE1,PWRBIO001,2047,721.6374
RE1,PWRBIO001,2048,331.8295
RE1,PWRBIO001,2049,350.6368
RE1,PWRBIO001,2050,2770.6992
RE1,PWRBIO001,2051,277.6788
RE1,PWRBIO001,2052,361.3877
RE1,PWRBIO001,2053,1444.1901
RE1,PWRBIO001,2054,1066.3245
RE1,PWRBIO001,2055,293.5897
RE1,PWRBIO001,2056,406.3132
RE1,PWRBIO001,2057,421.8896
RE1,PWRBIO001,2058,552.4521
RE1,PWRBIO001,2059,580.754
RE1,PWRBIO001,2060,510.102
RE1,PWRBIO001,2061,377.4188
RE1,PWRBIO001,2062,384.1281
RE1,PWRBIO001,2063,399.6368
RE1,PWRBIO001,2064,515.6509
RE1,PWRBIO001,2065,596.2198
RE1,PWRBIO001,2066,512.3684
RE1,PWRBIO001,2067,550.9998
RE1,PWRBIO001,2068,507.8429
RE1,PWRBIO001,2069,247.852
RE1,PWRCOA001,2067,71.3986
RE1,PWRCOA001,2068,213.8764
RE1,PWRCOA001,2069,68.0392
RE1,PWRNGS001,2024,110.4196
RE1,PWRNGS001,2025,9.8833
RE1,PWRNGS001,2026,113.5555
RE1,PWRNGS001,2027,231.2376
RE1,PWRNGS001,2028,51.0012
RE1,PWRNGS001,2029,314.4219
RE1,PWRNGS001,2030,95.5523
RE1,PWRNGS001,2031,218.0073
RE1,PWRNGS001,2032,325.988
RE1,PWRNGS001,2033,101.363
RE1,PWRNGS001,2034,90.733
RE1,PWRNGS001,2036,68.7908
RE1,PWRNGS001,2037,105.8113
RE1,PWRNGS001,2047,310.8801
RE1,PWRNGS001,2048,453.9942
RE1,PWRNGS001,2049,464.3974
RE1,PWRNGS001,2050,1222.2081
RE1,PWRNGS001,2051,329.9798
RE1,PWRNGS001,2052,175.9808
RE1,PWRNGS001,2053,183.7505
RE1,PWRNGS001,2054,298.5768
RE1,PWRNGS001,2055,202.5723
RE1,PWRNGS001,2056,310.9059
RE1,PWRNGS001,2057,433.379
RE1,PWRNGS001,2059,243.1106
RE1,PWRNGS001,2060,124.8033
RE1,PWRNGS001,2062,113.8876
RE1,PWRNGS001,2066,278.4664
RE1,PWRNGS001,2067,349.6909
RE1,PWRNGS001,2068,207.7253
RE1,PWRSOL001,2025,874.1087
RE1,PWRSOL001,2026,6.0592
RE1,PWRSOL001,2027,25.9486
RE1,PWRSOL001,2028,58.1521
RE1,PWRSOL001,2029,60.1886
RE1,PWRSOL001,2030,62.291
RE1,PWRSOL001,2031,46.5961
RE1,PWRSOL001,2032,49.7467
RE1,PWRSOL001,2033,52.8564
RE1,PWRSOL001,2034,261.8889
RE1,PWRSOL001,2035,120.5374
RE1,PWRSOL001,2036,84.1348
RE1,PWRSOL001,2037,87.9162
RE1,PWRSOL001,2038,91.8842
RE1,PWRSOL001,2039,96.042
RE1,PWRSOL001,2040,100.3922
RE1,PWRSOL001,2041,84.5834
RE1,PWRSOL001,2042,89.0518
RE1,PWRSOL001,2043,93.7951
RE1,PWRSOL001,2044,98.8241
RE1,PWRSOL001,2045,104.1585
RE1,PWRSOL001,2046,99.9921
RE1,PWRSOL001,2047,105.6857
RE1,PWRSOL001,2048,111.6871
RE1,PWRSOL001,2049,760.274
RE1,PWRSOL001,2050,937.1041
RE1,PWRSOL001,2051,113.3181
RE1,PWRSOL001,2052,141.6323
RE1,PWRSOL001,2053,147.0535
RE1,PWRSOL001,2054,152.731
RE1,PWRSOL001,2055,143.6667
RE1,PWRSOL001,2056,150.21
RE1,PWRSOL001,2057,156.9567
RE1,PWRSOL001,2058,346.1447
RE1,PWRSOL001,2059,226.7702
RE1,PWRSOL001,2060,198.8669
RE1,PWRSOL001,2061,172.3334
RE1,PWRSOL001,2062,179.6923
RE1,PWRSOL001,2063,187.5137
RE1,PWRSOL001,2064,195.8224
RE1,PWRSOL001,2065,182.018
RE1,PWRSOL001,2066,188.5364
RE1,PWRSOL001,2067,195.3776
RE1,PWRSOL001,2068,202.5534
RE1,PWRSOL001,2069,210.0871
RE1,PWRSOL001,2070,1750.0097
RE1,PWRHYD001,2022,581.2048
RE1,PWRHYD001,2051,720.0
RE1,PWRHYD002,2021,185.6627
RE1,PWRHYD002,2051,230.0
RE1,PWRHYD003,2021,9.047
RE1,PWRHYD003,2022,314.953
RE1,PWRWND001,2035,2216.5757
RE1,PWRWND001,2036,134.4223
RE1,PWRWND001,2037,143.2761
RE1,PWRWND001,2038,152.8019
RE1,PWRWND001,2039,163.0472
RE1,PWRWND001,2044,140.8149
RE1,PWRWND001,2045,848.8622
RE1,PWRWND001,2047,356.6098
RE1,PWRWND001,2048,193.6461
RE1,PWRWND001,2049,204.6216
RE1,PWRWND001,2050,1616.9003
RE1,PWRWND001,2051,162.0454
RE1,PWRWND001,2052,166.7754
RE1,PWRWND001,2053,171.6506
RE1,PWRWND001,2054,176.6766
RE1,PWRWND001,2055,181.8614
RE1,PWRWND001,2056,187.2109
RE1,PWRWND001,2057,192.7272
RE1,PWRWND001,2058,198.4265
RE1,PWRWND001,2059,204.3047
RE1,PWRWND001,2060,2426.9542
RE1,PWRWND001,2061,289.9425
RE1,PWRSOL001S,2025,927.0657
RE1,PWRSOL001S,2028,546.9346
RE1,PWRSOL001S,2029,72.0417
RE1,PWRSOL001S,2030,73.5199
RE1,PWRSOL001S,2031,55.018
RE1,PWRSOL001S,2032,58.7126
RE1,PWRSOL001S,2033,62.409
RE1,PWRSOL001S,2034,66.0373
RE1,PWRSOL001S,2035,142.3203
RE1,PWRSOL001S,2036,99.2301
RE1,PWRSOL001S,2037,103.6694
RE1,PWRSOL001S,2038,108.2216
RE1,PWRSOL001S,2039,113.092
RE1,PWRSOL001S,2040,118.0665
RE1,PWRSOL001S,2041,98.7725
RE1,PWRSOL001S,2042,103.3571
RE1,PWRSOL001S,2043,108.0839
RE1,PWRSOL001S,2044,113.1762
RE1,PWRSOL001S,2045,118.4209
RE1,PWRSOL001S,2046,112.9727
RE1,PWRSOL001S,2047,118.5284
RE1,PWRSOL001S,2048,124.4646
RE1,PWRSOL001S,2049,729.9521
RE1,PWRSOL001S,2050,1024.878
RE1,PWRSOL001S,2051,102.713
RE1,PWRSOL001S,2052,492.977
RE1,PWRSOL001S,2053,161.6107
RE1,PWRSOL001S,2054,167.8501
RE1,PWRSOL001S,2055,157.8886
RE1,PWRSOL001S,2056,165.0796
RE1,PWRSOL001S,2057,172.4942
RE1,PWRSOL001S,2058,180.1784
RE1,PWRSOL001S,2059,249.2188
RE1,PWRSOL001S,2060,218.5532
RE1,PWRSOL001S,2061,189.3931
RE1,PWRSOL001S,2062,197.4805
RE1,PWRSOL001S,2063,206.0761
RE1,PWRSOL001S,2064,215.2073
RE1,PWRSOL001S,2065,200.0364
RE1,PWRSOL001S,2066,207.2
RE1,PWRSOL001S,2067,214.7184
RE1,PWRSOL001S,2068,222.6046
RE1,PWRSOL001S,2069,230.8841
RE1,PWRSOL001S,2070,1989.4134
RE1,PWRWND001S,2051,2835.3898
RE1,PWRWND001S,2052,1195.4815
RE1,PWRWND001S,2053,1178.0838
RE1,PWRWND001S,2054,1174.7502
RE1,PWRWND001S,2055,1171.4049
RE1,PWRWND001S,2056,1168.0465
RE1,PWRWND001S,2057,1164.6744
RE1,PWRWND001S,2058,826.6815
RE1,PWRWND001S,2059,994.3166
RE1,PWRWND001S,2061,933.8158
RE1,PWRWND001S,2062,1342.8331
RE1,PWRWND001S,2063,751.1357
RE1,PWRWND001S,2064,735.843
RE1,PWRWND001S,2065,21.9459
RE1,PWRWND001S,2066,664.6391
RE1,PWRWND001S,2067,315.9852
RE1,PWRWND001S,2068,322.663
RE1,PWRWND001S,2069,329.5044
RE1,PWRTRNIMP,2015,0.0
RE1,PWRTRNIMP,2016,0.0
RE1,PWRTRNIMP,2017,0.0
RE1,PWRTRNIMP,2018,0.0001
RE1,PWRTRNIMP,2019,0.0001
RE1,PWRTRNIMP,2020,0.0
RE1,PWRTRNIMP,2021,0.0
RE1,PWRTRNIMP,2022,0.0001
RE1,PWRTRNIMP,2023,0.0001
RE1,PWRTRNIMP,2024,0.0001
RE1,PWRTRNIMP,2025,0.0001
RE1,PWRTRNIMP,2026,0.0001
RE1,PWRTRNIMP,2027,0.0001
RE1,PWRTRNIMP,2028,0.0001
RE1,PWRTRNIMP,2029,0.0001
RE1,PWRTRNIMP,2030,0.0001
RE1,PWRTRNIMP,2031,0.0001
RE1,PWRTRNIMP,2032,0.0
RE1,PWRTRNIMP,2033,0.0
RE1,PWRTRNIMP,2034,0.0
RE1,PWRTRN,2015,11.2781
RE1,PWRTRN,2016,14.49
RE1,PWRTRN,2017,7.9141
RE1,PWRTRN,2018,5.9028
RE1,PWRTRN,2021,31.0661
RE1,PWRTRN,2022,106.5764
RE1,PWRTRN,2023,90.2287
RE1,PWRTRN,2024,91.2234
RE1,PWRTRN,2025,108.9873
RE1,PWRTRN,2026,11.9549
RE1,PWRTRN,2027,34.3582
RE1,PWRTRN,2028,36.2072
RE1,PWRTRN,2029,38.1748
RE1,PWRTRN,2030,40.2843
RE1,PWRTRN,2031,50.9094
RE1,PWRTRN,2032,17.1956
RE1,PWRTRN,2033,35.314
RE1,PWRTRN,2034,39.7212
RE1,PWRTRN,2035,89.3715
RE1,PWRTRN,2036,74.9643
RE1,PWRTRN,2037,70.9379
RE1,PWRTRN,2038,104.0145
RE1,PWRTRN,2040,50.0329
RE1,PWRTRN,2041,49.8581
RE1,PWRTRN,2042,52.492
RE1,PWRTRN,2043,55.8728
RE1,PWRTRN,2044,65.86
RE1,PWRTRN,2045,88.7316
RE1,PWRTRN,2046,47.4673
RE1,PWRTRN,2047,110.7881
RE1,PWRTRN,2048,76.4453
RE1,PWRTRN,2049,80.7781
RE1,PWRTRN,2050,638.3008
RE1,PWRTRN,2051,222.5887
RE1,PWRTRN,2052,146.817
RE1,PWRTRN,2053,148.7745
RE1,PWRTRN,2054,150.7942
RE1,PWRTRN,2055,152.8798
RE1,PWRTRN,2056,155.0336
RE1,PWRTRN,2057,157.256
RE1,PWRTRN,2058,82.4523
RE1,PWRTRN,2059,88.6499
RE1,PWRTRN,2060,80.9067
RE1,PWRTRN,2061,113.6343
RE1,PWRTRN,2062,122.0112
RE1,PWRTRN,2063,89.5482
RE1,PWRTRN,2064,89.3187
RE1,PWRTRN,2065,70.3692
RE1,PWRTRN,2066,110.7523
RE1,PWRTRN,2067,96.0847
RE1,PWRTRN,2068,108.6479
RE1,PWRTRN,2069,252.3872
RE1,PWRDIST,2015,74.989
RE1,PWRDIST,2016,96.3464
RE1,PWRDIST,2017,52.6224
RE1,PWRDIST,2018,39.2487
RE1,PWRDIST,2021,206.5634
RE1,PWRDIST,2022,708.6422
RE1,PWRDIST,2023,599.9439
RE1,PWRDIST,2024,606.558
RE1,PWRDIST,2025,724.6731
RE1,PWRDIST,2026,79.4902
RE1,PWRDIST,2027,228.453
RE1,PWRDIST,2028,240.747
RE1,PWRDIST,2029,253.8298
RE1,PWRDIST,2030,267.8562
RE1,PWRDIST,2031,338.5046
RE1,PWRDIST,2032,114.3362
RE1,PWRDIST,2033,234.808
RE1,PWRDIST,2034,264.1121
RE1,PWRDIST,2035,594.2444
RE1,PWRDIST,2036,498.4488
RE1,PWRDIST,2037,471.677
RE1,PWRDIST,2038,691.6079
RE1,PWRDIST,2040,332.6762
RE1,PWRDIST,2041,331.5141
RE1,PWRDIST,2042,349.0275
RE1,PWRDIST,2043,371.5067
RE1,PWRDIST,2044,437.9134
RE1,PWRDIST,2045,589.9901
RE1,PWRDIST,2046,315.6172
RE1,PWRDIST,2047,736.6469
RE1,PWRDIST,2048,508.2966
RE1,PWRDIST,2049,537.1056
RE1,PWRDIST,2050,4244.1584
RE1,PWRDIST,2051,1480.0259
RE1,PWRDIST,2052,976.2086
RE1,PWRDIST,2053,989.2239
RE1,PWRDIST,2054,1002.6532
RE1,PWRDIST,2055,1016.5206
RE1,PWRDIST,2056,1030.8414
RE1,PWRDIST,2057,1045.6188
RE1,PWRDIST,2058,548.2377
RE1,PWRDIST,2059,589.4468
RE1,PWRDIST,2060,537.9608
RE1,PWRDIST,2061,755.5715
RE1,PWRDIST,2062,811.2712
RE1,PWRDIST,2063,595.4195
RE1,PWRDIST,2064,593.8933
RE1,PWRDIST,2065,392.9056
RE1,PWRDIST,2066,640.0622
RE1,PWRDIST,2067,586.2595
RE1,PWRDIST,2068,683.1674
RE1,PWRDIST,2069,1678.1607
RE1,PWRSOL002,2039,1237.2979
RE1,PWRSOL002,2040,1627.8006
RE1,PWRSOL002,2041,777.8238
RE1,PWRSOL002,2042,691.8906
RE1,PWRSOL002,2043,725.5237
RE1,PWRSOL002,2044,549.7195
RE1,PWRSOL002,2046,2994.3416
RE1,PWRSOL002,2047,365.5544
RE1,PWRSOL002,2048,852.3576
RE1,PWRSOL002,2049,852.4525
RE1,PWRSOL002,2051,495.0713
RE1,PWRSOL002,2058,137.8078
RE1,PWRSOL002,2060,823.6537
RE1,PWRSOL002,2061,128.1272
RE1,PWRSOL002,2063,1650.7224
RE1,PWRSOL002,2064,2091.2578
RE1,PWRSOL002,2065,1677.783
RE1,PWRSOL002,2066,195.9304
RE1,PWRSOL002,2067,354.3798
RE1,PWRHYD004,2021,36.0
RE1,PWRTRNEXP,2015,0.0
RE1,PWRTRNEXP,2016,0.0
RE1,PWRTRNEXP,2017,0.0
RE1,PWRTRNEXP,2018,0.0
RE1,PWRTRNEXP,2019,0.0
RE1,PWRTRNEXP,2020,0.0
RE1,PWRTRNEXP,2021,0.0
RE1,PWRTRNEXP,2022,0.0
RE1,PWRTRNEXP,2023,0.0
RE1,PWRTRNEXP,2024,0.0
RE1,PWRTRNEXP,2025,0.0
RE1,PWRTRNEXP,2026,0.0
RE1,PWRTRNEXP,2027,0.0
RE1,PWRTRNEXP,2028,0.0
RE1,PWRTRNEXP,2029,0.0
RE1,PWRTRNEXP,2030,0.0
RE1,PWRTRNEXP,2031,0.0
RE1,PWRTRNEXP,2032,0.0
