r,t,y,SalvageValue
RE1,PWRSOL001S,2057,96.5279
RE1,PWRSOL001S,2058,108.4626
RE1,PWRSOL001S,2059,160.0801
RE1,PWRSOL001S,2060,148.7824
RE1,PWRSOL001S,2061,135.8637
RE1,PWRSOL001S,2062,148.5494
RE1,PWRSOL001S,2063,161.8569
RE1,PWRSOL001S,2064,175.8333
RE1,PWRSOL001S,2065,169.4618
RE1,PWRSOL001S,2066,181.4728
RE1,PWRSOL001S,2067,193.9224
RE1,PWRSOL001S,2068,206.8354
RE1,PWRSOL001S,2069,220.2484
RE1,PWRSOL001S,2070,1944.7095
RE1,PWRWND001S,2051,870.9949
RE1,PWRWND001S,2052,430.5321
RE1,PWRWND001S,2053,483.671
RE1,PWRWND001S,2054,538.7179
RE1,PWRWND001S,2055,590.7599
RE1,PWRWND001S,2056,639.9447
RE1,PWRWND001S,2057,686.4131
RE1,PWRWND001S,2058,519.8748
RE1,PWRWND001S,2059,662.7091
RE1,PWRWND001S,2061,687.7201
RE1,PWRWND001S,2062,1032.5935
RE1,PWRWND001S,2063,600.8505
RE1,PWRWND001S,2064,610.3118
RE1,PWRWND001S,2065,18.8183
RE1,PWRWND001S,2066,587.6902
RE1,PWRWND001S,2067,287.4493
RE1,PWRWND001S,2068,301.3502
RE1,PWRWND001S,2069,315.3513
RE1,PWRTRN,2022,5.5599
RE1,PWRTRN,2023,9.19
RE1,PWRTRN,2024,13.6078
RE1,PWRTRN,2025,21.1692
RE1,PWRTRN,2026,2.8352
RE1,PWRTRN,2027,9.5526
RE1,PWRTRN,2028,11.4762
RE1,PWRTRN,2029,13.5152
RE1,PWRTRN,2030,15.6844
RE1,PWRTRN,2031,21.5332
RE1,PWRTRN,2032,7.824
RE1,PWRTRN,2033,17.1449
RE1,PWRTRN,2034,20.4385
RE1,PWRTRN,2035,48.4586
RE1,PWRTRN,2036,42.622
RE1,PWRTRN,2037,42.1128
RE1,PWRTRN,2038,64.2348
RE1,PWRTRN,2040,33.1215
RE1,PWRTRN,2041,34.0351
RE1,PWRTRN,2042,36.8652
RE1,PWRTRN,2043,40.2858
RE1,PWRTRN,2044,48.6614
RE1,PWRTRN,2045,67.0673
RE1,PWRTRN,2046,36.6457
RE1,PWRTRN,2047,87.2374
RE1,PWRTRN,2048,61.3166
RE1,PWRTRN,2049,65.9206
RE1,PWRTRN,2050,529.393
RE1,PWRTRN,2051,187.4314
RE1,PWRTRN,2052,125.3998
RE1,PWRTRN,2053,128.782
RE1,PWRTRN,2054,132.1812
RE1,PWRTRN,2055,135.6035
RE1,PWRTRN,2056,139.0534
RE1,PWRTRN,2057,142.5341
RE1,PWRTRN,2058,75.476
RE1,PWRTRN,2059,81.9097
RE1,PWRTRN,2060,75.4162
RE1,PWRTRN,2061,106.807
RE1,PWRTRN,2062,115.5848
RE1,PWRTRN,2063,85.4636
RE1,PWRTRN,2064,85.8449
RE1,PWRTRN,2065,68.0829
RE1,PWRTRN,2066,107.829
RE1,PWRTRN,2067,94.1065
RE1,PWRTRN,2068,107.0118
RE1,PWRTRN,2069,249.9158
RE1,PWRDIST,2015,38.3757
RE1,PWRDIST,2016,51.7013
RE1,PWRDIST,2017,29.4845
RE1,PWRDIST,2018,22.8765
RE1,PWRDIST,2021,133.0859
RE1,PWRDIST,2022,469.7184
RE1,PWRDIST,2023,408.2715
RE1,PWRDIST,2024,422.9819
RE1,PWRDIST,2025,516.9659
RE1,PWRDIST,2026,57.9201
RE1,PWRDIST,2027,169.7828
RE1,PWRDIST,2028,182.2533
RE1,PWRDIST,2029,195.5049
RE1,PWRDIST,2030,209.6726
RE1,PWRDIST,2031,269.024
RE1,PWRDIST,2032,92.1704
RE1,PWRDIST,2033,191.8346
RE1,PWRDIST,2034,218.5048
RE1,PWRDIST,2035,497.4773
RE1,PWRDIST,2036,421.9528
RE1,PWRDIST,2037,403.4999
RE1,PWRDIST,2038,597.5212
RE1,PWRDIST,2040,292.6774
RE1,PWRDIST,2041,294.0896
RE1,PWRDIST,2042,312.067
RE1,PWRDIST,2043,334.6403
RE1,PWRDIST,2044,397.2351
RE1,PWRDIST,2045,538.7497
RE1,PWRDIST,2046,290.022
RE1,PWRDIST,2047,680.9448
RE1,PWRDIST,2048,472.5142
RE1,PWRDIST,2049,501.9648
RE1,PWRDIST,2050,3986.5699
RE1,PWRDIST,2051,1396.8719
RE1,PWRDIST,2052,925.5527
RE1,PWRDIST,2053,941.9378
RE1,PWRDIST,2054,958.6299
RE1,PWRDIST,2055,975.6588
RE1,PWRDIST,2056,993.0453
RE1,PWRDIST,2057,1010.7986
RE1,PWRDIST,2058,531.7374
RE1,PWRDIST,2059,573.5048
RE1,PWRDIST,2060,524.9747
RE1,PWRDIST,2061,739.4236
RE1,PWRDIST,2062,796.0714
RE1,PWRDIST,2063,585.7586
RE1,PWRDIST,2064,585.6771
RE1,PWRDIST,2065,388.3646
RE1,PWRDIST,2066,634.0527
RE1,PWRDIST,2067,581.966
RE1,PWRDIST,2068,679.5079
RE1,PWRDIST,2069,1672.3152
RE1,PWRSOL002,2048,58.8296
RE1,PWRSOL002,2049,114.8707
RE1,PWRSOL002,2051,127.2226
RE1,PWRSOL002,2058,82.9566
RE1,PWRSOL002,2060,560.711
RE1,PWRSOL002,2061,91.9138
RE1,PWRSOL002,2063,1296.5152
RE1,PWRSOL002,2064,1708.6449
RE1,PWRSOL002,2065,1421.3421
RE1,PWRSOL002,2066,171.6025
RE1,PWRSOL002,2067,320.0572
RE1,DEMTRAEVC,2022,4.2762
RE1,DEMTRAEVC,2023,8.3489
RE1,DEMTRAEVC,2024,12.2275
RE1,DEMTRAEVC,2025,15.9215
RE1,DEMTRAEVC,2026,8.3819
RE1,DEMTRAEVC,2027,4.5489
RE1,DEMTRAEVC,2028,5.3622
RE1,DEMTRAEVC,2029,6.1953
RE1,DEMTRAEVC,2030,7.0536
RE1,DEMTRAEVC,2031,10.0998
RE1,DEMTRAEVC,2032,18.5415
RE1,DEMTRAEVC,2033,6.3274
RE1,DEMTRAEVC,2034,8.15
RE1,DEMTRAEVC,2035,37.9881
RE1,DEMTRAEVC,2036,9.2548
RE1,DEMTRAEVC,2037,19.8777
RE1,DEMTRAEVC,2038,41.8508
RE1,DEMTRAEVC,2039,32.0432
RE1,DEMTRAEVC,2040,13.6536
RE1,DEMTRAEVC,2041,31.8292
RE1,DEMTRAEVC,2042,46.0771
RE1,DEMTRAEVC,2043,46.9046
RE1,DEMTRAEVC,2044,47.6351
RE1,DEMTRAEVC,2045,48.2633
RE1,DEMTRAEVC,2046,106.4322
RE1,DEMTRAEVC,2047,62.8129
RE1,DEMTRAEVC,2048,63.9833
RE1,DEMTRAEVC,2049,65.0979
RE1,DEMTRAEVC,2050,519.83
RE1,DEMTRAEVC,2051,205.3459
RE1,DEMTRAEVC,2052,78.1281
RE1,DEMTRAEVC,2053,79.3443
RE1,DEMTRAEVC,2054,80.5171
RE1,DEMTRAEVC,2055,81.649
RE1,DEMTRAEVC,2056,82.7422
RE1,DEMTRAEVC,2057,83.7983
RE1,DEMTRAEVC,2058,84.8204
RE1,DEMTRAEVC,2059,85.8094
RE1,DEMTRAEVC,2060,86.768
RE1,DEMTRAEVC,2061,85.0799
RE1,DEMTRAEVC,2062,85.8831
RE1,DEMTRAEVC,2063,86.6591
RE1,DEMTRAEVC,2064,87.4085
RE1,DEMTRAEVC,2065,88.1336
RE1,DEMTRAEVC,2066,11.1704
RE1,DEMTRAEVC,2067,11.3861
RE1,DEMTRAEVC,2068,11.6027
RE1,DEMTRAEVC,2069,11.8208
RE1,DEMTRAEVC,2070,12.0399
RE1,DEMTRAMCYELC,2057,0.0
RE1,DEMTRAMCYELC,2058,0.0
RE1,DEMTRAMCYELC,2059,0.0
RE1,DEMTRAMCYELC,2060,0.0
RE1,DEMTRAMCYELC,2061,0.0
RE1,DEMTRAMCYELC,2062,0.0
RE1,DEMTRAMCYELC,2063,0.0
RE1,DEMTRAMCYELC,2064,0.0
RE1,DEMTRAMCYELC,2065,0.0
RE1,DEMTRAMCYELC,2066,0.0
RE1,DEMTRAMCYELC,2067,0.0
RE1,DEMTRAMCYELC,2068,0.0
RE1,DEMTRAMCYELC,2069,0.0
RE1,DEMTRAMCYELC,2070,0.0
RE1,DEMTRACARELC,2052,0.0
RE1,DEMTRACARELC,2053,0.0
RE1,DEMTRACARELC,2054,0.0
RE1,DEMTRACARELC,2055,0.0
RE1,DEMTRACARELC,2056,0.0
RE1,DEMTRACARELC,2057,0.0
RE1,DEMTRACARELC,2058,0.0
RE1,DEMTRACARELC,2059,0.0
RE1,DEMTRACARELC,2060,0.0
RE1,DEMTRACARELC,2061,0.0
RE1,DEMTRACARELC,2062,0.0
RE1,DEMTRACARELC,2063,0.0
RE1,DEMTRACARELC,2064,0.0
RE1,DEMTRACARELC,2065,0.0
RE1,DEMTRACARELC,2066,0.0
RE1,DEMTRACARELC,2067,0.0
RE1,DEMTRACARELC,2068,0.0
RE1,DEMTRACARELC,2069,0.0
RE1,DEMTRACARELC,2070,0.0
RE1,DEMTRABUSELC,2052,42.8208
RE1,DEMTRABUSELC,2053,84.962
RE1,DEMTRABUSELC,2054,126.4536
RE1,DEMTRABUSELC,2055,167.3303
RE1,DEMTRABUSELC,2056,207.625
RE1,DEMTRABUSELC,2057,247.3628
RE1,DEMTRABUSELC,2058,286.5972
RE1,DEMTRABUSELC,2059,325.3377
RE1,DEMTRABUSELC,2060,363.6423
RE1,DEMTRABUSELC,2061,318.9019
RE1,DEMTRABUSELC,2062,347.5081
RE1,DEMTRABUSELC,2063,375.6633
RE1,DEMTRABUSELC,2064,403.3657
RE1,DEMTRABUSELC,2065,430.6709
RE1,DEMTRABUSELC,2066,457.5749
RE1,DEMTRABUSELC,2067,484.1107
RE1,DEMTRABUSELC,2068,510.2996
RE1,DEMTRABUSELC,2069,536.184
RE1,DEMTRABUSELC,2070,25962.16
RE1,DEMINDELC,2062,0.0
RE1,DEMINDELC,2063,0.0
RE1,DEMINDELC,2064,0.0
RE1,DEMINDELC,2065,0.0001
RE1,DEMINDELC,2066,0.0
RE1,DEMINDELC,2067,0.0001
RE1,DEMINDELC,2068,0.0001
RE1,DEMINDELC,2069,0.0001
RE1,DEMINDELC,2070,0.0001
RE1,DEMINDHECOA,2057,1.561
RE1,DEMINDHECOA,2058,3.1186
RE1,DEMINDHECOA,2059,4.6748
RE1,DEMINDHECOA,2060,38.1976
RE1,DEMINDHECOA,2061,7.4291
RE1,DEMINDHECOA,2062,9.0904
RE1,DEMINDHECOA,2063,10.7962
RE1,DEMINDHECOA,2064,12.5447
RE1,DEMINDHECOA,2065,20.2617
RE1,DEMINDHECOA,2066,15.7486
RE1,DEMINDHECOA,2067,17.3232
RE1,DEMINDHECOA,2068,18.9072
RE1,DEMINDHECOA,2069,20.5028
RE1,DEMINDHECOA,2070,22.1113
RE1,DEMINDHEBIO,2060,3.4765
RE1,DEMINDHEBIO,2062,11.615
RE1,DEMINDHEBIO,2063,16.8271
RE1,DEMINDHEBIO,2064,18.9503
RE1,DEMINDHEBIO,2065,25.9833
RE1,DEMRESCKNELC,2062,0.2801
RE1,DEMRESCKNELC,2063,0.496
RE1,DEMRESCKNELC,2064,0.6717
RE1,DEMRESCKNELC,2065,1.1528
RE1,DEMRESCKNELC,2066,10.0583
RE1,DEMRESCKNBIO,2067,0.1003
RE1,DEMRESCKNBIO,2068,0.158
RE1,DEMRESCKNBIO,2069,0.1767
RE1,DEMRESCKNBIO,2070,0.2058
RE1,DEMRESHEBIO,2060,5.8053
RE1,DEMRESHEBIO,2062,18.456
RE1,DEMRESHEBIO,2063,26.6634
RE1,DEMRESHEBIO,2064,30.0295
RE1,DEMRESHEBIO,2065,41.1896
RE1,DEMCOMHEBIO,2057,0.0245
RE1,DEMCOMHEBIO,2058,0.0488
RE1,DEMCOMHEBIO,2059,0.0731
RE1,DEMCOMHEBIO,2060,0.597
RE1,DEMCOMHEBIO,2061,0.116
RE1,DEMCOMHEBIO,2062,0.1419
RE1,DEMCOMHEBIO,2063,0.1684
RE1,DEMCOMHEBIO,2064,0.1956
RE1,DEMCOMHEBIO,2065,0.3159
RE1,DEMCOMHEBIO,2066,0.2455
RE1,DEMCOMHEBIO,2067,0.27
RE1,DEMCOMHEBIO,2068,0.2946
RE1,DEMCOMHEBIO,2069,0.3194
RE1,DEMCOMHEBIO,2070,0.3445
