r,t,y,AnnualVariableOperatingCost
RE1,MINSOL,2059,0.0089
RE1,MINSOL,2060,0.0093
RE1,MINSOL,2061,0.0097
RE1,MINSOL,2062,0.01
RE1,MINSOL,2063,0.0104
RE1,MINSOL,2064,0.0106
RE1,MINSOL,2065,0.0108
RE1,MINSOL,2066,0.0107
RE1,MINSOL,2067,0.0107
RE1,MINSOL,2068,0.0106
RE1,MINSOL,2069,0.0104
RE1,MINSOL,2070,0.0111
RE1,MINWND,2032,0.0001
RE1,MINWND,2033,0.0002
RE1,MINWND,2034,0.0004
RE1,MINWND,2035,0.0005
RE1,MINWND,2036,0.0006
RE1,MINWND,2037,0.0007
RE1,MINWND,2038,0.0008
RE1,MINWND,2039,0.0009
RE1,MINWND,2040,0.0011
RE1,MINWND,2041,0.0012
RE1,MINWND,2042,0.0013
RE1,MINWND,2043,0.0014
RE1,MINWND,2044,0.0015
RE1,MINWND,2045,0.0016
RE1,MINWND,2046,0.0018
RE1,MINWND,2047,0.0021
RE1,MINWND,2048,0.0028
RE1,MINWND,2049,0.0038
RE1,MINWND,2050,0.0044
RE1,MINWND,2051,0.0055
RE1,MINWND,2052,0.0056
RE1,MINWND,2053,0.0057
RE1,MINWND,2054,0.0061
RE1,MINWND,2055,0.0067
RE1,MINWND,2056,0.0074
RE1,MINWND,2057,0.0081
RE1,MINWND,2058,0.0082
RE1,MINWND,2059,0.0083
RE1,MINWND,2060,0.0084
RE1,MINWND,2061,0.0084
RE1,MINWND,2062,0.0086
RE1,MINWND,2063,0.0087
RE1,MINWND,2064,0.0089
RE1,MINWND,2065,0.0093
RE1,MINWND,2066,0.0096
RE1,MINWND,2067,0.0098
RE1,MINWND,2068,0.0101
RE1,MINWND,2069,0.0104
RE1,MINWND,2070,0.0136
RE1,MINHYD,2015,0.0005
RE1,MINHYD,2016,0.0005
RE1,MINHYD,2017,0.0006
RE1,MINHYD,2018,0.0004
RE1,MINHYD,2019,0.0005
RE1,MINHYD,2020,0.0005
RE1,MINHYD,2021,0.0012
RE1,MINHYD,2022,0.0013
RE1,MINHYD,2023,0.0013
RE1,MINHYD,2024,0.0013
RE1,MINHYD,2025,0.0013
RE1,MINHYD,2026,0.0013
RE1,MINHYD,2027,0.0013
RE1,MINHYD,2028,0.0013
RE1,MINHYD,2029,0.0013
RE1,MINHYD,2030,0.0013
RE1,MINHYD,2031,0.0013
RE1,MINHYD,2032,0.0013
RE1,MINHYD,2033,0.0013
RE1,MINHYD,2034,0.0013
RE1,MINHYD,2035,0.0013
RE1,MINHYD,2036,0.0013
RE1,MINHYD,2037,0.0013
RE1,MINHYD,2038,0.0013
RE1,MINHYD,2039,0.0013
RE1,MINHYD,2040,0.0013
RE1,MINHYD,2041,0.0013
RE1,MINHYD,2042,0.0013
RE1,MINHYD,2043,0.0013
RE1,MINHYD,2044,0.0013
RE1,MINHYD,2045,0.0013
RE1,MINHYD,2046,0.0013
RE1,MINHYD,2047,0.0013
RE1,MINHYD,2048,0.0013
RE1,MINHYD,2049,0.0013
RE1,MINHYD,2050,0.0013
RE1,MINHYD,2051,0.0013
RE1,MINHYD,2052,0.0013
RE1,MINHYD,2053,0.0013
RE1,MINHYD,2054,0.0013
RE1,MINHYD,2055,0.0013
RE1,MINHYD,2056,0.0013
RE1,MINHYD,2057,0.0013
RE1,MINHYD,2058,0.0013
RE1,MINHYD,2059,0.0013
RE1,MINHYD,2060,0.0013
RE1,MINHYD,2061,0.0013
RE1,MINHYD,2062,0.0013
RE1,MINHYD,2063,0.0013
RE1,MINHYD,2064,0.0013
RE1,MINHYD,2065,0.0013
RE1,MINHYD,2066,0.0013
RE1,MINHYD,2067,0.0013
RE1,MINHYD,2068,0.0013
RE1,MINHYD,2069,0.0013
RE1,MINHYD,2070,0.0013
RE1,PWRBIO001,2022,0.0003
RE1,PWRBIO001,2023,0.0011
RE1,PWRBIO001,2024,0.0013
RE1,PWRBIO001,2025,0.0013
RE1,PWRBIO001,2026,0.0014
RE1,PWRBIO001,2027,0.0015
RE1,PWRBIO001,2028,0.0016
RE1,PWRBIO001,2029,0.0017
RE1,PWRBIO001,2030,0.0018
RE1,PWRBIO001,2031,0.0019
RE1,PWRBIO001,2032,0.0019
RE1,PWRBIO001,2033,0.002
RE1,PWRBIO001,2034,0.0021
RE1,PWRBIO001,2035,0.0023
RE1,PWRBIO001,2036,0.0024
RE1,PWRBIO001,2037,0.0026
RE1,PWRBIO001,2038,0.0027
RE1,PWRBIO001,2039,0.0029
RE1,PWRBIO001,2040,0.0031
RE1,PWRBIO001,2041,0.0032
RE1,PWRBIO001,2042,0.0034
RE1,PWRBIO001,2043,0.0036
RE1,PWRBIO001,2044,0.0037
RE1,PWRBIO001,2045,0.0038
RE1,PWRBIO001,2046,0.0041
RE1,PWRBIO001,2047,0.0043
RE1,PWRBIO001,2048,0.0045
RE1,PWRBIO001,2049,0.0047
RE1,PWRBIO001,2050,0.005
RE1,PWRBIO001,2051,0.0066
RE1,PWRBIO001,2052,0.0067
RE1,PWRBIO001,2053,0.0069
RE1,PWRBIO001,2054,0.0071
RE1,PWRBIO001,2055,0.0073
RE1,PWRBIO001,2056,0.0075
RE1,PWRBIO001,2057,0.0077
RE1,PWRBIO001,2058,0.0079
RE1,PWRBIO001,2059,0.0081
RE1,PWRBIO001,2060,0.0083
RE1,PWRBIO001,2061,0.0085
RE1,PWRBIO001,2062,0.0086
RE1,PWRBIO001,2063,0.0088
RE1,PWRBIO001,2064,0.009
RE1,PWRBIO001,2065,0.0091
RE1,PWRBIO001,2066,0.0093
RE1,PWRBIO001,2067,0.0095
RE1,PWRBIO001,2068,0.0097
RE1,PWRBIO001,2069,0.0099
RE1,PWRBIO001,2070,0.0096
RE1,PWRCOA001,2022,0.0003
RE1,PWRCOA001,2023,0.0003
RE1,PWRCOA001,2024,0.0003
RE1,PWRCOA001,2025,0.0003
RE1,PWRCOA001,2026,0.0003
RE1,PWRNGS001,2024,0.0003
RE1,PWRNGS001,2025,0.0003
RE1,PWRNGS001,2026,0.0004
RE1,PWRNGS001,2027,0.0006
RE1,PWRNGS001,2028,0.0008
RE1,PWRNGS001,2029,0.001
RE1,PWRNGS001,2030,0.0011
RE1,PWRNGS001,2031,0.0012
RE1,PWRNGS001,2032,0.0013
RE1,PWRNGS001,2033,0.0013
RE1,PWRNGS001,2034,0.0013
RE1,PWRNGS001,2035,0.0016
RE1,PWRNGS001,2036,0.0017
RE1,PWRNGS001,2037,0.0018
RE1,PWRNGS001,2038,0.0017
RE1,PWRNGS001,2039,0.0014
RE1,PWRNGS001,2040,0.0011
RE1,PWRNGS001,2041,0.0011
RE1,PWRNGS001,2042,0.0012
RE1,PWRNGS001,2043,0.0012
RE1,PWRNGS001,2044,0.0012
RE1,PWRNGS001,2045,0.0012
RE1,PWRNGS001,2046,0.0013
RE1,PWRNGS001,2047,0.0014
RE1,PWRNGS001,2048,0.0015
RE1,PWRNGS001,2049,0.0016
RE1,PWRNGS001,2050,0.0017
RE1,PWRNGS001,2051,0.0035
RE1,PWRNGS001,2052,0.004
RE1,PWRNGS001,2053,0.0045
RE1,PWRNGS001,2054,0.0048
RE1,PWRNGS001,2055,0.005
RE1,PWRNGS001,2056,0.0052
RE1,PWRNGS001,2057,0.0055
RE1,PWRNGS001,2058,0.0055
RE1,PWRNGS001,2059,0.0056
RE1,PWRNGS001,2060,0.0056
RE1,PWRNGS001,2061,0.0056
RE1,PWRNGS001,2062,0.0055
RE1,PWRNGS001,2063,0.0055
RE1,PWRNGS001,2064,0.0054
RE1,PWRNGS001,2065,0.0053
RE1,PWRNGS001,2066,0.0055
RE1,PWRNGS001,2067,0.0058
RE1,PWRNGS001,2068,0.006
RE1,PWRNGS001,2069,0.0063
RE1,PWRNGS001,2070,0.0021
RE1,PWRSOL001,2015,0.0
RE1,PWRSOL001,2017,0.0
RE1,PWRSOL001,2021,0.0
RE1,PWRSOL001,2022,0.0
RE1,PWRSOL001,2023,0.0
RE1,PWRSOL001,2024,0.0003
RE1,PWRSOL001,2025,0.0007
RE1,PWRSOL001,2026,0.0007
RE1,PWRSOL001,2027,0.0008
RE1,PWRSOL001,2028,0.0008
RE1,PWRSOL001,2029,0.0008
RE1,PWRSOL001,2030,0.0009
RE1,PWRSOL001,2031,0.0009
RE1,PWRSOL001,2032,0.001
RE1,PWRSOL001,2033,0.001
RE1,PWRSOL001,2034,0.001
RE1,PWRSOL001,2035,0.0011
RE1,PWRSOL001,2036,0.0012
RE1,PWRSOL001,2037,0.0013
RE1,PWRSOL001,2038,0.0014
RE1,PWRSOL001,2039,0.0015
RE1,PWRSOL001,2040,0.0015
RE1,PWRSOL001,2041,0.0016
RE1,PWRSOL001,2042,0.0017
RE1,PWRSOL001,2043,0.0018
RE1,PWRSOL001,2044,0.0019
RE1,PWRSOL001,2045,0.002
RE1,PWRSOL001,2046,0.0021
RE1,PWRSOL001,2047,0.0022
RE1,PWRSOL001,2048,0.0023
RE1,PWRSOL001,2049,0.0023
RE1,PWRSOL001,2050,0.0026
RE1,PWRSOL001,2051,0.0033
RE1,PWRSOL001,2052,0.0034
RE1,PWRSOL001,2053,0.0035
RE1,PWRSOL001,2054,0.0035
RE1,PWRSOL001,2055,0.0036
RE1,PWRSOL001,2056,0.0037
RE1,PWRSOL001,2057,0.0038
RE1,PWRSOL001,2058,0.0039
RE1,PWRSOL001,2059,0.004
RE1,PWRSOL001,2060,0.0042
RE1,PWRSOL001,2061,0.0042
RE1,PWRSOL001,2062,0.0043
RE1,PWRSOL001,2063,0.0044
RE1,PWRSOL001,2064,0.0045
RE1,PWRSOL001,2065,0.0046
RE1,PWRSOL001,2066,0.0047
RE1,PWRSOL001,2067,0.0048
RE1,PWRSOL001,2068,0.0048
RE1,PWRSOL001,2069,0.0049
RE1,PWRSOL001,2070,0.0061
RE1,PWRHYD001,2015,0.0004
RE1,PWRHYD001,2016,0.0004
RE1,PWRHYD001,2017,0.0004
RE1,PWRHYD001,2018,0.0003
RE1,PWRHYD001,2019,0.0003
RE1,PWRHYD001,2020,0.0004
RE1,PWRHYD001,2021,0.0007
RE1,PWRHYD001,2022,0.0008
RE1,PWRHYD001,2023,0.0008
RE1,PWRHYD001,2024,0.0008
RE1,PWRHYD001,2025,0.0008
RE1,PWRHYD001,2026,0.0008
RE1,PWRHYD001,2027,0.0008
RE1,PWRHYD001,2028,0.0008
RE1,PWRHYD001,2029,0.0008
RE1,PWRHYD001,2030,0.0008
RE1,PWRHYD001,2031,0.0008
RE1,PWRHYD001,2032,0.0008
RE1,PWRHYD001,2033,0.0008
RE1,PWRHYD001,2034,0.0008
RE1,PWRHYD001,2035,0.0008
RE1,PWRHYD001,2036,0.0008
RE1,PWRHYD001,2037,0.0008
RE1,PWRHYD001,2038,0.0008
RE1,PWRHYD001,2039,0.0008
RE1,PWRHYD001,2040,0.0008
RE1,PWRHYD001,2041,0.0008
RE1,PWRHYD001,2042,0.0008
RE1,PWRHYD001,2043,0.0008
RE1,PWRHYD001,2044,0.0008
RE1,PWRHYD001,2045,0.0008
RE1,PWRHYD001,2046,0.0008
RE1,PWRHYD001,2047,0.0008
RE1,PWRHYD001,2048,0.0008
RE1,PWRHYD001,2049,0.0008
RE1,PWRHYD001,2050,0.0008
RE1,PWRHYD001,2051,0.0008
RE1,PWRHYD001,2052,0.0008
RE1,PWRHYD001,2053,0.0008
RE1,PWRHYD001,2054,0.0008
RE1,PWRHYD001,2055,0.0008
RE1,PWRHYD001,2056,0.0008
RE1,PWRHYD001,2057,0.0008
RE1,PWRHYD001,2058,0.0008
RE1,PWRHYD001,2059,0.0008
RE1,PWRHYD001,2060,0.0008
RE1,PWRHYD001,2061,0.0008
RE1,PWRHYD001,2062,0.0008
RE1,PWRHYD001,2063,0.0008
RE1,PWRHYD001,2064,0.0008
RE1,PWRHYD001,2065,0.0008
RE1,PWRHYD001,2066,0.0008
RE1,PWRHYD001,2067,0.0008
RE1,PWRHYD001,2068,0.0008
RE1,PWRHYD001,2069,0.0008
RE1,PWRHYD001,2070,0.0008
RE1,PWRHYD002,2015,0.0002
RE1,PWRHYD002,2016,0.0001
RE1,PWRHYD002,2017,0.0001
RE1,PWRHYD002,2018,0.0001
RE1,PWRHYD002,2019,0.0001
RE1,PWRHYD002,2020,0.0001
RE1,PWRHYD002,2021,0.0003
RE1,PWRHYD002,2022,0.0003
RE1,PWRHYD002,2023,0.0003
RE1,PWRHYD002,2024,0.0003
RE1,PWRHYD002,2025,0.0003
RE1,PWRHYD002,2026,0.0003
RE1,PWRHYD002,2027,0.0003
RE1,PWRHYD002,2028,0.0003
RE1,PWRHYD002,2029,0.0003
RE1,PWRHYD002,2030,0.0003
RE1,PWRHYD002,2031,0.0003
RE1,PWRHYD002,2032,0.0003
RE1,PWRHYD002,2033,0.0003
RE1,PWRHYD002,2034,0.0003
RE1,PWRHYD002,2035,0.0003
RE1,PWRHYD002,2036,0.0003
RE1,PWRHYD002,2037,0.0003
RE1,PWRHYD002,2038,0.0003
RE1,PWRHYD002,2039,0.0003
RE1,PWRHYD002,2040,0.0003
RE1,PWRHYD002,2041,0.0003
RE1,PWRHYD002,2042,0.0003
RE1,PWRHYD002,2043,0.0003
RE1,PWRHYD002,2044,0.0003
RE1,PWRHYD002,2045,0.0003
RE1,PWRHYD002,2046,0.0003
RE1,PWRHYD002,2047,0.0003
RE1,PWRHYD002,2048,0.0003
RE1,PWRHYD002,2049,0.0003
RE1,PWRHYD002,2050,0.0003
RE1,PWRHYD002,2051,0.0003
RE1,PWRHYD002,2052,0.0003
RE1,PWRHYD002,2053,0.0003
RE1,PWRHYD002,2054,0.0003
RE1,PWRHYD002,2055,0.0003
RE1,PWRHYD002,2056,0.0003
RE1,PWRHYD002,2057,0.0003
RE1,PWRHYD002,2058,0.0003
RE1,PWRHYD002,2059,0.0003
RE1,PWRHYD002,2060,0.0003
RE1,PWRHYD002,2061,0.0003
RE1,PWRHYD002,2062,0.0003
RE1,PWRHYD002,2063,0.0003
RE1,PWRHYD002,2064,0.0003
RE1,PWRHYD002,2065,0.0003
RE1,PWRHYD002,2066,0.0003
RE1,PWRHYD002,2067,0.0003
RE1,PWRHYD002,2068,0.0003
RE1,PWRHYD002,2069,0.0003
RE1,PWRHYD002,2070,0.0003
RE1,PWRHYD003,2021,0.0002
RE1,PWRHYD003,2022,0.0002
RE1,PWRHYD003,2023,0.0002
RE1,PWRHYD003,2024,0.0002
RE1,PWRHYD003,2025,0.0002
RE1,PWRHYD003,2026,0.0002
RE1,PWRHYD003,2027,0.0002
RE1,PWRHYD003,2028,0.0002
RE1,PWRHYD003,2029,0.0002
RE1,PWRHYD003,2030,0.0002
RE1,PWRHYD003,2031,0.0002
RE1,PWRHYD003,2032,0.0002
RE1,PWRHYD003,2033,0.0002
RE1,PWRHYD003,2034,0.0002
RE1,PWRHYD003,2035,0.0002
RE1,PWRHYD003,2036,0.0002
RE1,PWRHYD003,2037,0.0002
RE1,PWRHYD003,2038,0.0002
RE1,PWRHYD003,2039,0.0002
RE1,PWRHYD003,2040,0.0002
RE1,PWRHYD003,2041,0.0002
RE1,PWRHYD003,2042,0.0002
RE1,PWRHYD003,2043,0.0002
RE1,PWRHYD003,2044,0.0002
RE1,PWRHYD003,2045,0.0002
RE1,PWRHYD003,2046,0.0002
RE1,PWRHYD003,2047,0.0002
RE1,PWRHYD003,2048,0.0002
RE1,PWRHYD003,2049,0.0002
RE1,PWRHYD003,2050,0.0002
RE1,PWRHYD003,2051,0.0002
RE1,PWRHYD003,2052,0.0002
RE1,PWRHYD003,2053,0.0002
RE1,PWRHYD003,2054,0.0002
RE1,PWRHYD003,2055,0.0002
RE1,PWRHYD003,2056,0.0002
RE1,PWRHYD003,2057,0.0002
RE1,PWRHYD003,2058,0.0002
RE1,PWRHYD003,2059,0.0002
RE1,PWRHYD003,2060,0.0002
RE1,PWRHYD003,2061,0.0002
RE1,PWRHYD003,2062,0.0002
RE1,PWRHYD003,2063,0.0002
RE1,PWRHYD003,2064,0.0002
RE1,PWRHYD003,2065,0.0002
RE1,PWRHYD003,2066,0.0002
RE1,PWRHYD003,2067,0.0002
RE1,PWRHYD003,2068,0.0002
RE1,PWRHYD003,2069,0.0002
RE1,PWRHYD003,2070,0.0002
RE1,PWRWND001,2032,0.0001
RE1,PWRWND001,2033,0.0002
RE1,PWRWND001,2034,0.0004
RE1,PWRWND001,2035,0.0005
RE1,PWRWND001,2036,0.0006
RE1,PWRWND001,2037,0.0007
RE1,PWRWND001,2038,0.0008
RE1,PWRWND001,2039,0.0009
RE1,PWRWND001,2040,0.0011
RE1,PWRWND001,2041,0.0012
RE1,PWRWND001,2042,0.0013
RE1,PWRWND001,2043,0.0014
RE1,PWRWND001,2044,0.0015
RE1,PWRWND001,2045,0.0016
RE1,PWRWND001,2046,0.0018
RE1,PWRWND001,2047,0.0019
RE1,PWRWND001,2048,0.002
RE1,PWRWND001,2049,0.0021
RE1,PWRWND001,2050,0.0022
RE1,PWRWND001,2051,0.0033
RE1,PWRWND001,2052,0.0034
RE1,PWRWND001,2053,0.0035
RE1,PWRWND001,2054,0.0035
RE1,PWRWND001,2055,0.0036
RE1,PWRWND001,2056,0.0037
RE1,PWRWND001,2057,0.0038
RE1,PWRWND001,2058,0.0039
RE1,PWRWND001,2059,0.004
RE1,PWRWND001,2060,0.0042
RE1,PWRWND001,2061,0.0042
RE1,PWRWND001,2062,0.0041
RE1,PWRWND001,2063,0.004
RE1,PWRWND001,2064,0.0039
RE1,PWRWND001,2065,0.0038
RE1,PWRWND001,2066,0.0036
RE1,PWRWND001,2067,0.0035
RE1,PWRWND001,2068,0.0034
RE1,PWRWND001,2069,0.0033
RE1,PWRWND001,2070,0.0065
RE1,PWRSOL001S,2025,0.0004
RE1,PWRSOL001S,2026,0.0005
RE1,PWRSOL001S,2027,0.0008
RE1,PWRSOL001S,2028,0.0008
RE1,PWRSOL001S,2029,0.0008
RE1,PWRSOL001S,2030,0.0009
RE1,PWRSOL001S,2031,0.0009
RE1,PWRSOL001S,2032,0.001
RE1,PWRSOL001S,2033,0.001
RE1,PWRSOL001S,2034,0.001
RE1,PWRSOL001S,2035,0.0011
RE1,PWRSOL001S,2036,0.0012
RE1,PWRSOL001S,2037,0.0013
RE1,PWRSOL001S,2038,0.0014
RE1,PWRSOL001S,2039,0.0015
RE1,PWRSOL001S,2040,0.0015
RE1,PWRSOL001S,2041,0.0016
RE1,PWRSOL001S,2042,0.0017
RE1,PWRSOL001S,2043,0.0018
RE1,PWRSOL001S,2044,0.0019
RE1,PWRSOL001S,2045,0.002
RE1,PWRSOL001S,2046,0.0021
RE1,PWRSOL001S,2047,0.0022
RE1,PWRSOL001S,2048,0.0023
RE1,PWRSOL001S,2049,0.0024
RE1,PWRSOL001S,2050,0.0027
