r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,IMPLFO,1,2030,235.3523
RE1,IMPLFO,1,2031,238.9702
RE1,IMPLFO,1,2032,242.9677
RE1,IMPLFO,1,2033,247.3202
RE1,IMPLFO,1,2034,252.009
RE1,IMPLFO,1,2035,268.697
RE1,IMPLFO,1,2036,277.8415
RE1,IMPLFO,1,2037,287.2444
RE1,IMPLFO,1,2038,296.9177
RE1,IMPLFO,1,2039,306.8731
RE1,IMPLFO,1,2040,317.1221
RE1,IMPLFO,1,2041,325.3014
RE1,IMPLFO,1,2042,333.6485
RE1,IMPLFO,1,2043,342.1707
RE1,IMPLFO,1,2044,350.8744
RE1,IMPLFO,1,2045,359.7665
RE1,IMPLFO,1,2046,344.7455
RE1,IMPLFO,1,2047,329.954
RE1,IMPLFO,1,2048,315.3928
RE1,IMPLFO,1,2049,301.0629
RE1,IMPLFO,1,2050,283.6281
RE1,IMPLFO,1,2051,110.3097
RE1,IMPLFO,1,2052,91.8159
RE1,IMPLFO,1,2053,73.3879
RE1,IMPLFO,1,2054,55.0265
RE1,IMPLFO,1,2055,36.7328
RE1,IMPLFO,1,2056,18.5081
RE1,IMPLFO,1,2057,0.3534
RE1,IMPNGS,1,2065,19.4754
RE1,IMPNGS,1,2066,114.612
RE1,IMPNGS,1,2067,120.4777
RE1,IMPNGS,1,2068,125.7826
RE1,IMPNGS,1,2069,131.4573
RE1,IMPNGS,1,2070,44.3448
RE1,MINNGS,1,2024,6.1002
RE1,MINNGS,1,2025,6.1002
RE1,MINNGS,1,2026,9.1058
RE1,MINNGS,1,2027,13.3356
RE1,MINNGS,1,2028,16.5158
RE1,MINNGS,1,2029,19.8598
RE1,MINNGS,1,2030,23.3825
RE1,MINNGS,1,2031,25.8597
RE1,MINNGS,1,2032,26.112
RE1,MINNGS,1,2033,26.5959
RE1,MINNGS,1,2034,27.3135
RE1,MINNGS,1,2035,32.469
RE1,MINNGS,1,2036,35.1925
RE1,MINNGS,1,2037,38.2089
RE1,MINNGS,1,2038,36.1913
RE1,MINNGS,1,2039,29.7085
RE1,MINNGS,1,2040,23.6225
RE1,MINNGS,1,2041,23.7143
RE1,MINNGS,1,2042,23.9538
RE1,MINNGS,1,2043,23.9949
RE1,MINNGS,1,2044,24.0361
RE1,MINNGS,1,2045,24.6991
RE1,MINNGS,1,2046,28.0062
RE1,MINNGS,1,2047,29.9608
RE1,MINNGS,1,2048,30.8112
RE1,MINNGS,1,2049,32.9137
RE1,MINNGS,1,2050,35.1635
RE1,MINNGS,1,2051,73.6945
RE1,MINNGS,1,2052,83.1989
RE1,MINNGS,1,2053,92.5679
RE1,MINNGS,1,2054,99.112
RE1,MINNGS,1,2055,103.9867
RE1,MINNGS,1,2056,108.9758
RE1,MINNGS,1,2057,114.0825
RE1,MINNGS,1,2058,114.8205
RE1,MINNGS,1,2059,115.5519
RE1,MINNGS,1,2060,116.4536
RE1,MINNGS,1,2061,115.5508
RE1,MINNGS,1,2062,114.4255
RE1,MINNGS,1,2063,113.6037
RE1,MINNGS,1,2064,112.1804
RE1,MINNGS,1,2065,90.668
RE1,MINSOL,1,2015,0.1517
RE1,MINSOL,1,2017,0.1719
RE1,MINSOL,1,2021,0.1777
RE1,MINSOL,1,2022,0.1777
RE1,MINSOL,1,2023,0.1777
RE1,MINSOL,1,2024,3.025
RE1,MINSOL,1,2025,6.8632
RE1,MINSOL,1,2026,7.3974
RE1,MINSOL,1,2027,7.7826
RE1,MINSOL,1,2028,8.19
RE1,MINSOL,1,2029,8.6209
RE1,MINSOL,1,2030,9.0747
RE1,MINSOL,1,2031,9.4182
RE1,MINSOL,1,2032,9.793
RE1,MINSOL,1,2033,10.1988
RE1,MINSOL,1,2034,10.6385
RE1,MINSOL,1,2035,11.5918
RE1,MINSOL,1,2036,12.2619
RE1,MINSOL,1,2037,12.9827
RE1,MINSOL,1,2038,16.1184
RE1,MINSOL,1,2039,21.4397
RE1,MINSOL,1,2040,26.818
RE1,MINSOL,1,2041,28.8344
RE1,MINSOL,1,2042,30.9646
RE1,MINSOL,1,2043,33.3242
RE1,MINSOL,1,2044,36.205
RE1,MINSOL,1,2045,39.495
RE1,MINSOL,1,2046,44.9012
RE1,MINSOL,1,2047,50.327
RE1,MINSOL,1,2048,53.7301
RE1,MINSOL,1,2049,53.7301
RE1,MINSOL,1,2050,56.922
RE1,MINSOL,1,2051,68.3952
RE1,MINSOL,1,2052,72.3066
RE1,MINSOL,1,2053,76.3422
RE1,MINSOL,1,2054,78.6766
RE1,MINSOL,1,2055,79.6174
RE1,MINSOL,1,2056,80.5859
RE1,MINSOL,1,2057,81.5829
RE1,MINSOL,1,2058,85.4833
RE1,MINSOL,1,2059,89.4037
RE1,MINSOL,1,2060,93.3543
RE1,MINSOL,1,2061,96.9768
RE1,MINSOL,1,2062,100.2093
RE1,MINSOL,1,2063,103.5792
RE1,MINSOL,1,2064,106.4771
RE1,MINSOL,1,2065,107.8894
RE1,MINSOL,1,2066,107.3917
RE1,MINSOL,1,2067,106.7698
RE1,MINSOL,1,2068,105.7058
RE1,MINSOL,1,2069,104.2687
RE1,MINSOL,1,2070,111.0363
RE1,MINWND,1,2032,1.1781
RE1,MINWND,1,2033,2.3563
RE1,MINWND,1,2034,3.5344
RE1,MINWND,1,2035,4.7125
RE1,MINWND,1,2036,5.8907
RE1,MINWND,1,2037,7.0688
RE1,MINWND,1,2038,8.2469
RE1,MINWND,1,2039,9.425
RE1,MINWND,1,2040,10.6032
RE1,MINWND,1,2041,11.7813
RE1,MINWND,1,2042,12.9594
RE1,MINWND,1,2043,14.1376
RE1,MINWND,1,2044,15.3157
RE1,MINWND,1,2045,16.4938
RE1,MINWND,1,2046,17.672
RE1,MINWND,1,2047,21.3175
RE1,MINWND,1,2048,27.5768
RE1,MINWND,1,2049,37.5353
RE1,MINWND,1,2050,44.4946
RE1,MINWND,1,2051,54.8754
RE1,MINWND,1,2052,55.7382
RE1,MINWND,1,2053,56.6262
RE1,MINWND,1,2054,60.7948
RE1,MINWND,1,2055,67.3558
RE1,MINWND,1,2056,73.9278
RE1,MINWND,1,2057,80.5117
RE1,MINWND,1,2058,81.5382
RE1,MINWND,1,2059,82.5951
RE1,MINWND,1,2060,83.6835
RE1,MINWND,1,2061,84.488
RE1,MINWND,1,2062,85.8165
RE1,MINWND,1,2063,86.9297
RE1,MINWND,1,2064,88.9135
RE1,MINWND,1,2065,92.7469
RE1,MINWND,1,2066,95.76
RE1,MINWND,1,2067,98.207
RE1,MINWND,1,2068,101.354
RE1,MINWND,1,2069,104.3075
RE1,MINWND,1,2070,136.146
RE1,MINHYD,1,2015,5.3075
RE1,MINHYD,1,2016,4.9048
RE1,MINHYD,1,2017,5.6014
RE1,MINHYD,1,2018,4.3311
RE1,MINHYD,1,2019,4.685
RE1,MINHYD,1,2020,5.0467
RE1,MINHYD,1,2021,12.4211
RE1,MINHYD,1,2022,13.4122
RE1,MINHYD,1,2023,13.4122
RE1,MINHYD,1,2024,13.4122
RE1,MINHYD,1,2025,13.4122
RE1,MINHYD,1,2026,13.4122
RE1,MINHYD,1,2027,13.4122
RE1,MINHYD,1,2028,13.4122
RE1,MINHYD,1,2029,13.4122
RE1,MINHYD,1,2030,13.4122
RE1,MINHYD,1,2031,13.4122
RE1,MINHYD,1,2032,13.4122
RE1,MINHYD,1,2033,13.4122
RE1,MINHYD,1,2034,13.4122
RE1,MINHYD,1,2035,13.4122
RE1,MINHYD,1,2036,13.4122
RE1,MINHYD,1,2037,13.4122
RE1,MINHYD,1,2038,13.4122
RE1,MINHYD,1,2039,13.4122
RE1,MINHYD,1,2040,13.4122
RE1,MINHYD,1,2041,13.4122
RE1,MINHYD,1,2042,13.4122
RE1,MINHYD,1,2043,13.4122
RE1,MINHYD,1,2044,13.4122
RE1,MINHYD,1,2045,13.4122
RE1,MINHYD,1,2046,13.4122
RE1,MINHYD,1,2047,13.4122
RE1,MINHYD,1,2048,13.4122
RE1,MINHYD,1,2049,13.4122
RE1,MINHYD,1,2050,13.4122
RE1,MINHYD,1,2051,13.4122
RE1,MINHYD,1,2052,13.4122
RE1,MINHYD,1,2053,13.4122
RE1,MINHYD,1,2054,13.4122
RE1,MINHYD,1,2055,13.4122
RE1,MINHYD,1,2056,13.4122
RE1,MINHYD,1,2057,13.4122
RE1,MINHYD,1,2058,13.4122
RE1,MINHYD,1,2059,13.4122
RE1,MINHYD,1,2060,13.4122
RE1,MINHYD,1,2061,13.4122
RE1,MINHYD,1,2062,13.4122
RE1,MINHYD,1,2063,13.4122
RE1,MINHYD,1,2064,13.4122
RE1,MINHYD,1,2065,13.4122
RE1,MINHYD,1,2066,13.4122
RE1,MINHYD,1,2067,13.4122
RE1,MINHYD,1,2068,13.4122
RE1,MINHYD,1,2069,13.4122
RE1,MINHYD,1,2070,13.4122
RE1,PWRBIO001,1,2022,3.2946
RE1,PWRBIO001,1,2023,11.0067
RE1,PWRBIO001,1,2024,13.0214
RE1,PWRBIO001,1,2025,13.3448
RE1,PWRBIO001,1,2026,14.4563
RE1,PWRBIO001,1,2027,15.2275
RE1,PWRBIO001,1,2028,16.0427
RE1,PWRBIO001,1,2029,16.9048
RE1,PWRBIO001,1,2030,17.8166
RE1,PWRBIO001,1,2031,18.5122
RE1,PWRBIO001,1,2032,19.2699
RE1,PWRBIO001,1,2033,20.0915
RE1,PWRBIO001,1,2034,20.9795
RE1,PWRBIO001,1,2035,22.9337
RE1,PWRBIO001,1,2036,24.3245
RE1,PWRBIO001,1,2037,25.8069
RE1,PWRBIO001,1,2038,27.3879
RE1,PWRBIO001,1,2039,29.0748
RE1,PWRBIO001,1,2040,30.8758
RE1,PWRBIO001,1,2041,32.3931
RE1,PWRBIO001,1,2042,33.9906
RE1,PWRBIO001,1,2043,35.6732
RE1,PWRBIO001,1,2044,37.0459
RE1,PWRBIO001,1,2045,38.0229
RE1,PWRBIO001,1,2046,41.1082
RE1,PWRBIO001,1,2047,43.0041
RE1,PWRBIO001,1,2048,45.0077
RE1,PWRBIO001,1,2049,47.1248
RE1,PWRBIO001,1,2050,49.5467
RE1,PWRBIO001,1,2051,65.5306
RE1,PWRBIO001,1,2052,67.2561
RE1,PWRBIO001,1,2053,69.0321
RE1,PWRBIO001,1,2054,70.8601
RE1,PWRBIO001,1,2055,72.7417
RE1,PWRBIO001,1,2056,74.6787
RE1,PWRBIO001,1,2057,76.6727
RE1,PWRBIO001,1,2058,78.7257
RE1,PWRBIO001,1,2059,80.8396
RE1,PWRBIO001,1,2060,83.0162
RE1,PWRBIO001,1,2061,84.6253
RE1,PWRBIO001,1,2062,86.2678
RE1,PWRBIO001,1,2063,87.9447
RE1,PWRBIO001,1,2064,89.6566
RE1,PWRBIO001,1,2065,91.4045
RE1,PWRBIO001,1,2066,93.1891
RE1,PWRBIO001,1,2067,95.0114
RE1,PWRBIO001,1,2068,96.8722
RE1,PWRBIO001,1,2069,98.7725
RE1,PWRBIO001,1,2070,95.5574
RE1,PWRCOA001,1,2022,3.1983
RE1,PWRCOA001,1,2023,3.1983
RE1,PWRCOA001,1,2024,3.1983
RE1,PWRCOA001,1,2025,3.1983
RE1,PWRCOA001,1,2026,3.1983
RE1,PWRNGS001,1,2024,2.9328
RE1,PWRNGS001,1,2025,2.9328
RE1,PWRNGS001,1,2026,4.3778
RE1,PWRNGS001,1,2027,6.4113
RE1,PWRNGS001,1,2028,7.9403
RE1,PWRNGS001,1,2029,9.548
RE1,PWRNGS001,1,2030,11.2416
RE1,PWRNGS001,1,2031,12.4325
RE1,PWRNGS001,1,2032,12.5538
RE1,PWRNGS001,1,2033,12.7865
RE1,PWRNGS001,1,2034,13.1315
RE1,PWRNGS001,1,2035,15.6101
RE1,PWRNGS001,1,2036,16.9195
RE1,PWRNGS001,1,2037,18.3697
RE1,PWRNGS001,1,2038,17.3997
RE1,PWRNGS001,1,2039,14.2829
RE1,PWRNGS001,1,2040,11.357
RE1,PWRNGS001,1,2041,11.4011
RE1,PWRNGS001,1,2042,11.5163
RE1,PWRNGS001,1,2043,11.536
RE1,PWRNGS001,1,2044,11.5558
RE1,PWRNGS001,1,2045,11.8745
RE1,PWRNGS001,1,2046,13.4645
RE1,PWRNGS001,1,2047,14.4042
RE1,PWRNGS001,1,2048,14.8131
RE1,PWRNGS001,1,2049,15.8239
RE1,PWRNGS001,1,2050,16.9055
RE1,PWRNGS001,1,2051,35.43
RE1,PWRNGS001,1,2052,39.9994
RE1,PWRNGS001,1,2053,44.5038
RE1,PWRNGS001,1,2054,47.65
RE1,PWRNGS001,1,2055,49.9936
RE1,PWRNGS001,1,2056,52.3922
RE1,PWRNGS001,1,2057,54.8473
RE1,PWRNGS001,1,2058,55.2022
RE1,PWRNGS001,1,2059,55.5538
RE1,PWRNGS001,1,2060,55.9873
RE1,PWRNGS001,1,2061,55.5533
RE1,PWRNGS001,1,2062,55.0123
RE1,PWRNGS001,1,2063,54.6172
RE1,PWRNGS001,1,2064,53.9329
RE1,PWRNGS001,1,2065,52.9535
RE1,PWRNGS001,1,2066,55.1019
RE1,PWRNGS001,1,2067,57.922
RE1,PWRNGS001,1,2068,60.4724
RE1,PWRNGS001,1,2069,63.2006
RE1,PWRNGS001,1,2070,21.3196
RE1,PWRSOL001,1,2015,0.1517
RE1,PWRSOL001,1,2017,0.1719
RE1,PWRSOL001,1,2021,0.1777
RE1,PWRSOL001,1,2022,0.1777
RE1,PWRSOL001,1,2023,0.1777
RE1,PWRSOL001,1,2024,3.025
RE1,PWRSOL001,1,2025,6.8632
RE1,PWRSOL001,1,2026,7.2281
RE1,PWRSOL001,1,2027,7.6138
RE1,PWRSOL001,1,2028,8.0214
RE1,PWRSOL001,1,2029,8.4524
RE1,PWRSOL001,1,2030,8.9083
RE1,PWRSOL001,1,2031,9.2561
RE1,PWRSOL001,1,2032,9.6349
RE1,PWRSOL001,1,2033,10.0457
RE1,PWRSOL001,1,2034,10.4898
RE1,PWRSOL001,1,2035,11.4669
RE1,PWRSOL001,1,2036,12.1623
RE1,PWRSOL001,1,2037,12.9035
RE1,PWRSOL001,1,2038,13.6939
RE1,PWRSOL001,1,2039,14.5374
RE1,PWRSOL001,1,2040,15.4379
RE1,PWRSOL001,1,2041,16.1966
RE1,PWRSOL001,1,2042,16.9953
RE1,PWRSOL001,1,2043,17.8366
RE1,PWRSOL001,1,2044,18.723
RE1,PWRSOL001,1,2045,19.6258
RE1,PWRSOL001,1,2046,20.5541
RE1,PWRSOL001,1,2047,21.5021
RE1,PWRSOL001,1,2048,22.5038
RE1,PWRSOL001,1,2049,22.5038
RE1,PWRSOL001,1,2050,25.6957
RE1,PWRSOL001,1,2051,32.7653
RE1,PWRSOL001,1,2052,33.6281
RE1,PWRSOL001,1,2053,34.516
RE1,PWRSOL001,1,2054,35.43
RE1,PWRSOL001,1,2055,36.3708
RE1,PWRSOL001,1,2056,37.3393
RE1,PWRSOL001,1,2057,38.3364
RE1,PWRSOL001,1,2058,39.3629
RE1,PWRSOL001,1,2059,40.4198
RE1,PWRSOL001,1,2060,41.5081
RE1,PWRSOL001,1,2061,42.3127
RE1,PWRSOL001,1,2062,43.1339
RE1,PWRSOL001,1,2063,43.9723
RE1,PWRSOL001,1,2064,44.8283
RE1,PWRSOL001,1,2065,45.7022
RE1,PWRSOL001,1,2066,46.5946
RE1,PWRSOL001,1,2067,47.5057
RE1,PWRSOL001,1,2068,48.4361
RE1,PWRSOL001,1,2069,49.3862
RE1,PWRSOL001,1,2070,60.6317
RE1,PWRHYD001,1,2015,3.731
RE1,PWRHYD001,1,2016,3.7195
RE1,PWRHYD001,1,2017,4.1154
RE1,PWRHYD001,1,2018,3.3044
RE1,PWRHYD001,1,2019,3.4559
RE1,PWRHYD001,1,2020,4.1109
RE1,PWRHYD001,1,2021,7.0885
RE1,PWRHYD001,1,2022,8.0796
RE1,PWRHYD001,1,2023,8.0796
RE1,PWRHYD001,1,2024,8.0796
RE1,PWRHYD001,1,2025,8.0796
RE1,PWRHYD001,1,2026,8.0796
RE1,PWRHYD001,1,2027,8.0796
RE1,PWRHYD001,1,2028,8.0796
RE1,PWRHYD001,1,2029,8.0796
RE1,PWRHYD001,1,2030,8.0796
RE1,PWRHYD001,1,2031,8.0796
RE1,PWRHYD001,1,2032,8.0796
RE1,PWRHYD001,1,2033,8.0796
RE1,PWRHYD001,1,2034,8.0796
RE1,PWRHYD001,1,2035,8.0796
RE1,PWRHYD001,1,2036,8.0796
RE1,PWRHYD001,1,2037,8.0796
RE1,PWRHYD001,1,2038,8.0796
RE1,PWRHYD001,1,2039,8.0796
RE1,PWRHYD001,1,2040,8.0796
RE1,PWRHYD001,1,2041,8.0796
RE1,PWRHYD001,1,2042,8.0796
RE1,PWRHYD001,1,2043,8.0796
RE1,PWRHYD001,1,2044,8.0796
RE1,PWRHYD001,1,2045,8.0796
RE1,PWRHYD001,1,2046,8.0796
RE1,PWRHYD001,1,2047,8.0796
RE1,PWRHYD001,1,2048,8.0796
RE1,PWRHYD001,1,2049,8.0796
RE1,PWRHYD001,1,2050,8.0796
RE1,PWRHYD001,1,2051,8.0796
RE1,PWRHYD001,1,2052,8.0796
RE1,PWRHYD001,1,2053,8.0796
RE1,PWRHYD001,1,2054,8.0796
RE1,PWRHYD001,1,2055,8.0796
RE1,PWRHYD001,1,2056,8.0796
RE1,PWRHYD001,1,2057,8.0796
RE1,PWRHYD001,1,2058,8.0796
RE1,PWRHYD001,1,2059,8.0796
RE1,PWRHYD001,1,2060,8.0796
RE1,PWRHYD001,1,2061,8.0796
RE1,PWRHYD001,1,2062,8.0796
RE1,PWRHYD001,1,2063,8.0796
RE1,PWRHYD001,1,2064,8.0796
RE1,PWRHYD001,1,2065,8.0796
RE1,PWRHYD001,1,2066,8.0796
RE1,PWRHYD001,1,2067,8.0796
RE1,PWRHYD001,1,2068,8.0796
RE1,PWRHYD001,1,2069,8.0796
RE1,PWRHYD001,1,2070,8.0796
RE1,PWRHYD002,1,2015,1.5765
RE1,PWRHYD002,1,2016,1.1853
RE1,PWRHYD002,1,2017,1.4861
RE1,PWRHYD002,1,2018,1.0267
RE1,PWRHYD002,1,2019,1.2291
RE1,PWRHYD002,1,2020,0.9358
RE1,PWRHYD002,1,2021,3.0972
RE1,PWRHYD002,1,2022,3.0972
RE1,PWRHYD002,1,2023,3.0972
RE1,PWRHYD002,1,2024,3.0972
RE1,PWRHYD002,1,2025,3.0972
RE1,PWRHYD002,1,2026,3.0972
RE1,PWRHYD002,1,2027,3.0972
RE1,PWRHYD002,1,2028,3.0972
RE1,PWRHYD002,1,2029,3.0972
RE1,PWRHYD002,1,2030,3.0972
RE1,PWRHYD002,1,2031,3.0972
RE1,PWRHYD002,1,2032,3.0972
RE1,PWRHYD002,1,2033,3.0972
RE1,PWRHYD002,1,2034,3.0972
RE1,PWRHYD002,1,2035,3.0972
RE1,PWRHYD002,1,2036,3.0972
RE1,PWRHYD002,1,2037,3.0972
RE1,PWRHYD002,1,2038,3.0972
RE1,PWRHYD002,1,2039,3.0972
RE1,PWRHYD002,1,2040,3.0972
RE1,PWRHYD002,1,2041,3.0972
RE1,PWRHYD002,1,2042,3.0972
RE1,PWRHYD002,1,2043,3.0972
RE1,PWRHYD002,1,2044,3.0972
RE1,PWRHYD002,1,2045,3.0972
RE1,PWRHYD002,1,2046,3.0972
RE1,PWRHYD002,1,2047,3.0972
RE1,PWRHYD002,1,2048,3.0972
RE1,PWRHYD002,1,2049,3.0972
RE1,PWRHYD002,1,2050,3.0972
RE1,PWRHYD002,1,2051,3.0972
RE1,PWRHYD002,1,2052,3.0972
RE1,PWRHYD002,1,2053,3.0972
RE1,PWRHYD002,1,2054,3.0972
RE1,PWRHYD002,1,2055,3.0972
RE1,PWRHYD002,1,2056,3.0972
RE1,PWRHYD002,1,2057,3.0972
RE1,PWRHYD002,1,2058,3.0972
RE1,PWRHYD002,1,2059,3.0972
RE1,PWRHYD002,1,2060,3.0972
RE1,PWRHYD002,1,2061,3.0972
RE1,PWRHYD002,1,2062,3.0972
RE1,PWRHYD002,1,2063,3.0972
RE1,PWRHYD002,1,2064,3.0972
RE1,PWRHYD002,1,2065,3.0972
RE1,PWRHYD002,1,2066,3.0972
RE1,PWRHYD002,1,2067,3.0972
RE1,PWRHYD002,1,2068,3.0972
RE1,PWRHYD002,1,2069,3.0972
RE1,PWRHYD002,1,2070,3.0972
RE1,PWRHYD003,1,2021,2.0118
RE1,PWRHYD003,1,2022,2.0118
RE1,PWRHYD003,1,2023,2.0118
RE1,PWRHYD003,1,2024,2.0118
RE1,PWRHYD003,1,2025,2.0118
RE1,PWRHYD003,1,2026,2.0118
RE1,PWRHYD003,1,2027,2.0118
RE1,PWRHYD003,1,2028,2.0118
RE1,PWRHYD003,1,2029,2.0118
RE1,PWRHYD003,1,2030,2.0118
RE1,PWRHYD003,1,2031,2.0118
RE1,PWRHYD003,1,2032,2.0118
RE1,PWRHYD003,1,2033,2.0118
RE1,PWRHYD003,1,2034,2.0118
RE1,PWRHYD003,1,2035,2.0118
RE1,PWRHYD003,1,2036,2.0118
RE1,PWRHYD003,1,2037,2.0118
RE1,PWRHYD003,1,2038,2.0118
RE1,PWRHYD003,1,2039,2.0118
RE1,PWRHYD003,1,2040,2.0118
RE1,PWRHYD003,1,2041,2.0118
RE1,PWRHYD003,1,2042,2.0118
RE1,PWRHYD003,1,2043,2.0118
RE1,PWRHYD003,1,2044,2.0118
RE1,PWRHYD003,1,2045,2.0118
RE1,PWRHYD003,1,2046,2.0118
RE1,PWRHYD003,1,2047,2.0118
RE1,PWRHYD003,1,2048,2.0118
RE1,PWRHYD003,1,2049,2.0118
RE1,PWRHYD003,1,2050,2.0118
RE1,PWRHYD003,1,2051,2.0118
RE1,PWRHYD003,1,2052,2.0118
RE1,PWRHYD003,1,2053,2.0118
RE1,PWRHYD003,1,2054,2.0118
RE1,PWRHYD003,1,2055,2.0118
RE1,PWRHYD003,1,2056,2.0118
RE1,PWRHYD003,1,2057,2.0118
RE1,PWRHYD003,1,2058,2.0118
RE1,PWRHYD003,1,2059,2.0118
RE1,PWRHYD003,1,2060,2.0118
RE1,PWRHYD003,1,2061,2.0118
RE1,PWRHYD003,1,2062,2.0118
RE1,PWRHYD003,1,2063,2.0118
RE1,PWRHYD003,1,2064,2.0118
RE1,PWRHYD003,1,2065,2.0118
RE1,PWRHYD003,1,2066,2.0118
RE1,PWRHYD003,1,2067,2.0118
RE1,PWRHYD003,1,2068,2.0118
RE1,PWRHYD003,1,2069,2.0118
RE1,PWRHYD003,1,2070,2.0118
