r,t,y,DiscountedSalvageValue
RE1,PWRTRN,2025,1.4416
RE1,PWRTRN,2026,0.1614
RE1,PWRTRN,2027,0.47
RE1,PWRTRN,2028,0.7619
RE1,PWRTRN,2029,1.0391
RE1,PWRTRN,2030,1.354
RE1,PWRTRN,2031,0.3832
RE1,PWRTRN,2032,0.4639
RE1,PWRTRN,2033,1.1428
RE1,PWRTRN,2034,1.1473
RE1,PWRTRN,2035,3.8863
RE1,PWRTRN,2036,2.3748
RE1,PWRTRN,2037,3.6967
RE1,PWRTRN,2038,1.713
RE1,PWRTRN,2039,0.0886
RE1,PWRTRN,2040,0.9192
RE1,PWRTRN,2041,2.9835
RE1,PWRTRN,2042,2.9208
RE1,PWRTRN,2043,3.1409
RE1,PWRTRN,2044,3.1699
RE1,PWRTRN,2045,2.1875
RE1,PWRTRN,2046,5.8136
RE1,PWRTRN,2047,5.0199
RE1,PWRTRN,2048,7.6978
RE1,PWRTRN,2049,8.0802
RE1,PWRTRN,2050,13.6982
RE1,PWRTRN,2051,30.4873
RE1,PWRTRN,2052,3.6593
RE1,PWRTRN,2053,4.6659
RE1,PWRTRN,2054,7.7414
RE1,PWRTRN,2055,8.7467
RE1,PWRTRN,2056,8.968
RE1,PWRTRN,2057,9.1912
RE1,PWRTRN,2058,3.4592
RE1,PWRTRN,2059,3.5817
RE1,PWRTRN,2060,3.7913
RE1,PWRTRN,2061,2.2379
RE1,PWRTRN,2062,4.4157
RE1,PWRTRN,2063,4.365
RE1,PWRTRN,2064,5.1022
RE1,PWRTRN,2065,7.2769
RE1,PWRTRN,2066,6.8723
RE1,PWRTRN,2067,6.085
RE1,PWRTRN,2068,6.8157
RE1,PWRTRN,2069,19.1453
RE1,PWRTRN,2070,0.3353
RE1,PWRDIST,2015,2.4978
RE1,PWRDIST,2016,2.9028
RE1,PWRDIST,2017,1.1757
RE1,PWRDIST,2018,1.2499
RE1,PWRDIST,2019,1.3245
RE1,PWRDIST,2020,1.3995
RE1,PWRDIST,2021,24.4316
RE1,PWRDIST,2022,22.175
RE1,PWRDIST,2023,27.2391
RE1,PWRDIST,2024,28.2603
RE1,PWRDIST,2025,35.204
RE1,PWRDIST,2026,3.2977
RE1,PWRDIST,2027,8.3535
RE1,PWRDIST,2028,12.0992
RE1,PWRDIST,2029,15.031
RE1,PWRDIST,2030,18.1004
RE1,PWRDIST,2031,4.788
RE1,PWRDIST,2032,5.465
RE1,PWRDIST,2033,12.7866
RE1,PWRDIST,2034,12.266
RE1,PWRDIST,2035,39.8973
RE1,PWRDIST,2036,23.5102
RE1,PWRDIST,2037,35.42
RE1,PWRDIST,2038,15.9347
RE1,PWRDIST,2039,0.8027
RE1,PWRDIST,2040,8.1227
RE1,PWRDIST,2041,25.7794
RE1,PWRDIST,2042,24.7246
RE1,PWRDIST,2043,26.0904
RE1,PWRDIST,2044,25.8769
RE1,PWRDIST,2045,17.5718
RE1,PWRDIST,2046,46.0102
RE1,PWRDIST,2047,39.184
RE1,PWRDIST,2048,59.3199
RE1,PWRDIST,2049,61.5284
RE1,PWRDIST,2050,103.1536
RE1,PWRDIST,2051,227.2128
RE1,PWRDIST,2052,27.0084
RE1,PWRDIST,2053,34.1273
RE1,PWRDIST,2054,56.1436
RE1,PWRDIST,2055,62.9321
RE1,PWRDIST,2056,64.0446
RE1,PWRDIST,2057,65.1805
RE1,PWRDIST,2058,24.3707
RE1,PWRDIST,2059,25.0776
RE1,PWRDIST,2060,26.3916
RE1,PWRDIST,2061,15.4932
RE1,PWRDIST,2062,30.4123
RE1,PWRDIST,2063,29.9173
RE1,PWRDIST,2064,34.8099
RE1,PWRDIST,2065,44.6072
RE1,PWRDIST,2066,41.1343
RE1,PWRDIST,2067,38.9248
RE1,PWRDIST,2068,43.6323
RE1,PWRDIST,2069,125.927
RE1,PWRSOL002,2048,2.9808
RE1,PWRSOL002,2051,20.3521
RE1,PWRSOL002,2052,17.2027
RE1,PWRSOL002,2053,20.8231
RE1,PWRSOL002,2054,10.7122
RE1,PWRSOL002,2058,31.1131
RE1,PWRSOL002,2059,33.079
RE1,PWRSOL002,2060,35.0441
RE1,PWRSOL002,2061,36.3562
RE1,PWRSOL002,2062,64.4276
RE1,PWRSOL002,2063,99.0092
RE1,PWRSOL002,2064,95.8036
RE1,PWRSOL002,2065,27.364
RE1,DEMTRAEVC,2022,0.2783
RE1,DEMTRAEVC,2023,0.5433
RE1,DEMTRAEVC,2024,0.7957
RE1,DEMTRAEVC,2025,1.0361
RE1,DEMTRAEVC,2026,0.5632
RE1,DEMTRAEVC,2027,0.4334
RE1,DEMTRAEVC,2028,0.3824
RE1,DEMTRAEVC,2029,0.3478
RE1,DEMTRAEVC,2030,0.2956
RE1,DEMTRAEVC,2031,0.5811
RE1,DEMTRAEVC,2032,1.298
RE1,DEMTRAEVC,2033,0.4154
RE1,DEMTRAEVC,2034,1.0197
RE1,DEMTRAEVC,2035,1.5942
RE1,DEMTRAEVC,2036,1.0228
RE1,DEMTRAEVC,2037,2.3191
RE1,DEMTRAEVC,2038,2.1176
RE1,DEMTRAEVC,2039,1.1062
RE1,DEMTRAEVC,2041,2.02
RE1,DEMTRAEVC,2042,2.6512
RE1,DEMTRAEVC,2043,2.9761
RE1,DEMTRAEVC,2044,3.2152
RE1,DEMTRAEVC,2045,3.4578
RE1,DEMTRAEVC,2046,7.0647
RE1,DEMTRAEVC,2047,5.5393
RE1,DEMTRAEVC,2048,4.1636
RE1,DEMTRAEVC,2049,4.2361
RE1,DEMTRAEVC,2050,5.1023
RE1,DEMTRAEVC,2051,42.5259
RE1,DEMTRAEVC,2052,5.084
RE1,DEMTRAEVC,2053,5.1632
RE1,DEMTRAEVC,2054,5.2395
RE1,DEMTRAEVC,2055,5.3131
RE1,DEMTRAEVC,2056,5.3843
RE1,DEMTRAEVC,2057,5.453
RE1,DEMTRAEVC,2058,5.5195
RE1,DEMTRAEVC,2059,5.5839
RE1,DEMTRAEVC,2060,5.6462
RE1,DEMTRAEVC,2061,5.5364
RE1,DEMTRAEVC,2062,5.5886
RE1,DEMTRAEVC,2063,5.6391
RE1,DEMTRAEVC,2064,5.6879
RE1,DEMTRAEVC,2065,5.7351
RE1,DEMTRAEVC,2066,0.7269
RE1,DEMTRAEVC,2067,0.7409
RE1,DEMTRAEVC,2068,0.755
RE1,DEMTRAEVC,2069,0.7692
RE1,DEMTRAEVC,2070,0.7835
RE1,DEMTRAMCYELC,2057,0.0
RE1,DEMTRAMCYELC,2058,0.0
RE1,DEMTRAMCYELC,2059,0.0
RE1,DEMTRAMCYELC,2060,0.0
RE1,DEMTRAMCYELC,2061,0.0
RE1,DEMTRAMCYELC,2062,0.0
RE1,DEMTRAMCYELC,2063,0.0
RE1,DEMTRAMCYELC,2064,0.0
RE1,DEMTRAMCYELC,2065,0.0
RE1,DEMTRAMCYELC,2066,0.0
RE1,DEMTRAMCYELC,2067,0.0
RE1,DEMTRAMCYELC,2068,0.0
RE1,DEMTRAMCYELC,2069,0.0
RE1,DEMTRAMCYELC,2070,0.0
RE1,DEMTRACARELC,2052,0.0
RE1,DEMTRACARELC,2053,0.0
RE1,DEMTRACARELC,2054,0.0
RE1,DEMTRACARELC,2055,0.0
RE1,DEMTRACARELC,2056,0.0
RE1,DEMTRACARELC,2057,0.0
RE1,DEMTRACARELC,2058,0.0
RE1,DEMTRACARELC,2059,0.0
RE1,DEMTRACARELC,2060,0.0
RE1,DEMTRACARELC,2061,0.0
RE1,DEMTRACARELC,2062,0.0
RE1,DEMTRACARELC,2063,0.0
RE1,DEMTRACARELC,2064,0.0
RE1,DEMTRACARELC,2065,0.0
RE1,DEMTRACARELC,2066,0.0
RE1,DEMTRACARELC,2067,0.0
RE1,DEMTRACARELC,2068,0.0
RE1,DEMTRACARELC,2069,0.0
RE1,DEMTRACARELC,2070,0.0
RE1,DEMTRABUSELC,2052,2.7865
RE1,DEMTRABUSELC,2053,5.5287
RE1,DEMTRABUSELC,2054,8.2287
RE1,DEMTRABUSELC,2055,10.8886
RE1,DEMTRABUSELC,2056,13.5107
RE1,DEMTRABUSELC,2057,16.0966
RE1,DEMTRABUSELC,2058,18.6497
RE1,DEMTRABUSELC,2059,21.1706
RE1,DEMTRABUSELC,2060,23.6632
RE1,DEMTRABUSELC,2061,20.7518
RE1,DEMTRABUSELC,2062,22.6133
RE1,DEMTRABUSELC,2063,24.4454
RE1,DEMTRABUSELC,2064,26.2481
RE1,DEMTRABUSELC,2065,28.0249
RE1,DEMTRABUSELC,2066,29.7757
RE1,DEMTRABUSELC,2067,31.5024
RE1,DEMTRABUSELC,2068,33.2066
RE1,DEMTRABUSELC,2069,34.891
RE1,DEMTRABUSELC,2070,81.183
RE1,DEMINDELC,2062,0.0
RE1,DEMINDELC,2063,0.0
RE1,DEMINDELC,2064,0.0
RE1,DEMINDELC,2065,0.0
RE1,DEMINDELC,2066,0.0
RE1,DEMINDELC,2067,0.0
RE1,DEMINDELC,2068,0.0
RE1,DEMINDELC,2069,0.0
RE1,DEMINDELC,2070,0.0
RE1,DEMINDHECOA,2057,0.1016
RE1,DEMINDHECOA,2058,0.2029
RE1,DEMINDHECOA,2059,0.3042
RE1,DEMINDHECOA,2060,2.4856
RE1,DEMINDHECOA,2061,0.4834
RE1,DEMINDHECOA,2062,0.5915
RE1,DEMINDHECOA,2063,0.7025
RE1,DEMINDHECOA,2064,0.8163
RE1,DEMINDHECOA,2065,1.3185
RE1,DEMINDHECOA,2066,1.0248
RE1,DEMINDHECOA,2067,1.1273
RE1,DEMINDHECOA,2068,1.2303
RE1,DEMINDHECOA,2069,1.3342
RE1,DEMINDHECOA,2070,1.4388
RE1,DEMINDHEBIO,2060,0.2262
RE1,DEMINDHEBIO,2062,0.7558
RE1,DEMINDHEBIO,2063,1.095
RE1,DEMINDHEBIO,2064,1.2331
RE1,DEMINDHEBIO,2065,1.6908
RE1,DEMRESCKNELC,2063,0.0223
RE1,DEMRESCKNELC,2064,0.0365
RE1,DEMRESCKNELC,2066,0.1364
RE1,DEMRESCKNELC,2067,0.2998
RE1,DEMRESCKNELC,2070,1.6367
RE1,DEMRESCKNBIO,2065,0.0001
RE1,DEMRESCKNBIO,2067,0.0079
RE1,DEMRESCKNBIO,2068,0.0103
RE1,DEMRESCKNBIO,2069,0.0115
RE1,DEMRESCKNBIO,2070,0.0093
RE1,DEMRESHEBIO,2060,0.3778
RE1,DEMRESHEBIO,2062,1.201
RE1,DEMRESHEBIO,2063,1.7351
RE1,DEMRESHEBIO,2064,1.9541
RE1,DEMRESHEBIO,2065,2.6803
RE1,DEMCOMHEBIO,2057,0.0016
RE1,DEMCOMHEBIO,2058,0.0032
RE1,DEMCOMHEBIO,2059,0.0048
RE1,DEMCOMHEBIO,2060,0.0388
RE1,DEMCOMHEBIO,2061,0.0075
RE1,DEMCOMHEBIO,2062,0.0092
RE1,DEMCOMHEBIO,2063,0.011
RE1,DEMCOMHEBIO,2064,0.0127
RE1,DEMCOMHEBIO,2065,0.0206
RE1,DEMCOMHEBIO,2066,0.016
RE1,DEMCOMHEBIO,2067,0.0176
RE1,DEMCOMHEBIO,2068,0.0192
RE1,DEMCOMHEBIO,2069,0.0208
RE1,DEMCOMHEBIO,2070,0.0224
